@relation 'data/final_5050.csv-weka.filters.unsupervised.attribute.Remove-R40-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R6-15,18,20-24,27-29,37-40,42-43,46-48,68-69,71-76,84-91,93-94,101,103-105,107-108,110-112,114-weka.filters.unsupervised.attribute.Remove-R53-weka.filters.unsupervised.attribute.Remove-R1-3,6,8,12-15,17-24,27-31,35-46,49-55,57'

@attribute BUGFIXES numeric
@attribute AGE numeric
@attribute LOC_ADDED numeric
@attribute AVE_LOC_ADDED numeric
@attribute REVISONS numeric
@attribute MAX_CODECHURN numeric
@attribute WEIGHTD_AGE numeric
@attribute MAX_LOC_DELETED numeric
@attribute AUTHORS numeric
@attribute AVG_LOC_DELETED numeric
@attribute LOC_DELETED numeric
@attribute MAX_LOC_ADDED numeric
@attribute AVE_CODECHURN numeric
@attribute CODECHURN numeric
@attribute REFACTORINGS numeric
@attribute class {buggy,clean}

@data
15,40,0,0,36,0,0,0,3,0,0,0,0,0,0,clean
9,126,0,0,37,0,0,0,3,0,0,0,0,0,0,buggy
3,47,7,0.043478,23,1,61.857143,1,3,0.043478,4,1,0.043478,3,0,clean
5,106,23,0.5,16,8,56.652172,5,2,0.3125,17,8,0.5,6,0,clean
2,51,42,2.7,10,27,27.428572,10,2,1,10,27,2.7,32,0,clean
0,73,0,0,9,0,0,0,2,0,0,0,0,0,0,buggy
1,102,11,1.428572,7,10,90.454544,4,2,0.571429,5,10,1.428572,6,1,clean
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,clean
9,52,0,0,35,0,0,0,3,0,0,0,0,0,2,clean
4,84,0,0,6,0,0,0,1,0,0,0,0,0,0,clean
3,103,0,0,13,0,0,0,2,0,0,0,0,0,0,buggy
2,3,0,0,6,0,0,0,2,0,0,0,0,0,0,clean
8,100,0,0,66,0,0,0,3,0,0,0,0,0,0,buggy
12,103,0,0,32,0,0,0,3,0,0,0,0,0,1,clean
3,128,45,1.105263,19,6,17.155556,23,4,1.210526,37,21,0.315789,8,0,clean
12,63,0,0,40,0,0,0,2,0,0,0,0,0,3,buggy
1,4,0,0,18,0,0,0,1,0,0,0,0,0,0,clean
9,103,130,1.148936,47,39,46.415386,18,4,0.382979,89,54,0.829787,41,0,clean
2,14,2,0.666667,3,0,3,2,1,0.666667,2,2,0,0,0,clean
6,41,0,0,25,0,0,0,3,0,0,0,0,0,0,clean
3,54,9,0.294118,17,5,37.333332,19,1,1.117647,20,5,0.294118,-11,0,clean
0,15,0,0,13,0,0,0,2,0,0,0,0,0,0,clean
7,103,0,0,32,0,0,0,2,0,0,0,0,0,2,buggy
5,84,0,0,17,0,0,0,1,0,0,0,0,0,0,clean
4,64,0,0,19,0,0,0,2,0,0,0,0,0,2,clean
4,14,0,0,11,0,0,0,2,0,0,0,0,0,0,clean
18,77,480,3.079365,63,35,57.293751,159,6,2.523809,396,194,0.555556,84,0,clean
8,36,0,0,24,0,0,0,3,0,0,0,0,0,0,buggy
1,77,101,2.137931,29,8,94.514854,60,4,2.068965,84,62,0.275862,17,0,clean
6,47,0,0,24,0,0,0,2,0,0,0,0,0,0,clean
1,77,28,0.85,20,9,100.321426,12,5,0.6,16,17,0.45,12,0,clean
5,14,0,0,19,0,0,0,2,0,0,0,0,0,0,clean
0,229,0,0,13,0,0,0,0,0,0,0,0,0,0,clean
6,47,0,0,24,0,0,0,2,0,0,0,0,0,0,buggy
6,33,25,1.111111,9,10,58.119999,4,2,0.444444,13,10,1.111111,12,0,clean
6,80,0,0,30,0,0,0,3,0,0,0,0,0,1,clean
26,35,0,0,90,0,0,0,3,0,0,0,0,0,2,buggy
17,52,0,0,49,0,0,0,3,0,0,0,0,0,0,buggy
27,103,0,0,102,0,0,0,3,0,0,0,0,0,2,buggy
8,47,0,0,28,0,0,0,3,0,0,0,0,0,0,clean
2,9,0,0,9,0,0,0,2,0,0,0,0,0,0,buggy
6,47,0,0,24,0,0,0,2,0,0,0,0,0,0,clean
24,102,0,0,83,0,0,0,3,0,0,0,0,0,0,buggy
7,47,0,0,22,0,0,0,2,0,0,0,0,0,0,clean
6,41,0,0,28,0,0,0,2,0,0,0,0,0,0,buggy
0,15,0,0,7,0,0,0,2,0,0,0,0,0,0,clean
1,15,0,0,12,0,0,0,2,0,0,0,0,0,0,clean
20,49,0,0,68,0,0,0,3,0,0,0,0,0,1,buggy
0,77,25,0.96,25,7,104.559998,17,2,0.68,18,24,0.28,7,0,clean
8,63,0,0,17,0,0,0,2,0,0,0,0,0,0,clean
4,105,107,4.454546,11,33,16.560747,63,5,5.727273,82,49,3,25,0,clean
41,82,4426,2.070707,297,323,63.776775,1300,4,4.377104,4913,615,1.087542,-487,1,buggy
5,47,0,0,23,0,0,0,1,0,0,0,0,0,0,clean
9,132,0,0,43,0,0,0,3,0,0,0,0,0,1,clean
5,70,0,0,21,0,0,0,2,0,0,0,0,0,0,clean
4,35,0,0,32,0,0,0,3,0,0,0,0,0,0,buggy
14,65,0,0,48,0,0,0,2,0,0,0,0,0,3,buggy
14,36,0,0,47,0,0,0,2,0,0,0,0,0,0,buggy
2,14,0,0,11,0,0,0,2,0,0,0,0,0,0,clean
0,21,27,3.25,4,13,13.555555,14,1,3.5,16,13,3.25,11,0,clean
2,21,138,4.818182,11,11,12.014493,46,1,4.181818,111,53,1,27,0,clean
0,12,5,1.25,4,1,8,4,1,1,4,5,0.25,1,0,clean
0,103,0,0,14,0,0,0,2,0,0,0,0,0,0,clean
2,5,13,1.571429,7,4,4,7,1,1,8,11,0.571429,5,0,buggy
2,97,13,1.666667,6,10,83.92308,2,4,0.333333,3,10,1.666667,10,0,clean
1,11,0,0,6,0,0,0,1,0,0,0,0,0,0,clean
12,92,916,8.178572,56,82,35.294762,494,5,8.821428,667,458,1.464286,249,1,clean
4,128,77,1.333333,33,9,34.142857,35,3,1.060606,74,44,0.272727,3,0,buggy
11,126,551,1.493151,73,95,27.099819,166,5,2.273973,425,109,1.30137,126,0,clean
6,84,0,0,14,0,0,0,2,0,0,0,0,0,1,clean
4,11,0,0,27,0,0,0,2,0,0,0,0,0,0,clean
