@relation 'data/final_7030.csv-weka.filters.unsupervised.attribute.Remove-R40-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R99-weka.filters.unsupervised.attribute.Remove-R4-5,17,25-26,30,35,53-54,60-62,83,92,108-weka.filters.unsupervised.attribute.Remove-R4-13,15,17-24,30-33,35-36,39-41,56-57,59-64,71-80,86,88-90,92-96,98'

@attribute CntClassBase numeric
@attribute SumCyclomaticModified numeric
@attribute CountStmtExe numeric
@attribute AvgLineComment numeric
@attribute CountStmtDecl numeric
@attribute CntDeclMethodProtected numeric
@attribute CntClassCoupled numeric
@attribute CntDeclMethodPublic numeric
@attribute CntDeclMethod numeric
@attribute MaxCyclomaticModified numeric
@attribute CntDeclMethodDefault numeric
@attribute CntDeclMethodAll numeric
@attribute CntDeclInstanceVariable numeric
@attribute CountLineCodeExe numeric
@attribute AvgLineBlank numeric
@attribute CountLineCode numeric
@attribute CountLineComment numeric
@attribute CntDeclClassVariable numeric
@attribute CountLineCodeDecl numeric
@attribute SumCyclomatic numeric
@attribute CntClassDerived numeric
@attribute CountLineBlank numeric
@attribute CntDeclMethodPrivate numeric
@attribute MxInheritanceTree numeric
@attribute MaxCyclomatic numeric
@attribute AvgEssential numeric
@attribute SumEssential numeric
@attribute PcntLackOfCohesion numeric
@attribute MaxCyclomaticStrict numeric
@attribute AvgCyclomaticStrict numeric
@attribute AvgLine numeric
@attribute RatioCommentToCode numeric
@attribute AvgLineCode numeric
@attribute CntDeclInstanceMethod numeric
@attribute CountStmt numeric
@attribute CountDeclFunction numeric
@attribute CountDeclClass numeric
@attribute AvgCyclomaticModified numeric
@attribute CountLine numeric
@attribute SumCyclomaticStrict numeric
@attribute AvgCyclomatic numeric
@attribute CountSemicolon numeric
@attribute class {buggy,clean}

@data
4,18,29,0.11,39,8,16,4,12,4,0,128,1,32,0.11,87,46,0,37,18,0,17,0,8,4,1,15,20,4,1,6.22,0.53,6,12,68,12,3,1,149,18,1,49,clean
1,9,37,0,29,0,5,5,5,5,0,18,6,38,2,76,19,0,29,9,0,28,0,2,5,1,5,50,5,1,15,0.25,11,5,66,5,1,1,123,9,1,56,clean
1,14,88,3,61,1,7,5,6,4,0,28,16,88,5,160,46,0,61,14,0,52,0,3,4,1,6,53,4,2,25,0.29,19,6,149,6,1,2,239,14,2,134,clean
5,46,132,0,76,5,13,5,22,7,0,161,13,148,0,267,73,4,78,48,0,44,12,6,7,1,34,28.33,8,2,10.43,0.27,9.61,22,208,22,3,2,377,50,2,165,clean
1,11,14,0,21,0,7,7,8,4,0,21,0,14,0,45,160,0,21,11,0,11,1,1,4,1,11,0,4,1,4,3.56,4,1,35,8,1,1,212,11,1,23,clean
1,26,55,0,45,7,10,2,14,4,0,27,9,56,0,115,22,0,42,26,0,20,5,2,4,1,19,80,4,1,7,0.19,6,14,100,14,1,1,154,27,1,76,clean
1,40,73,0,76,24,12,2,27,4,0,40,9,74,0,177,40,0,71,40,0,31,1,2,4,1,30,84,5,1,5,0.23,5,27,149,27,1,1,241,41,1,113,clean
7,64,157,0,82,0,7,32,40,6,0,105,4,164,0,295,53,9,79,64,0,50,8,6,6,1,46,19.25,6,1,6.2,0.18,6.2,40,239,40,4,1,374,64,1,175,clean
7,61,119,7.09,106,2,35,15,22,15,1,92,11,158,1.54,353,384,17,126,61,0,94,4,5,15,1,34,40.75,15,2,18.23,1.09,11.87,20,225,22,4,2,766,61,2,164,clean
2,46,107,0,63,2,14,22,24,7,0,37,4,135,0,244,204,3,73,64,1,40,0,2,7,1,24,86,9,2,8,0.84,8,24,170,24,1,1,480,69,2,125,clean
6,42,50,0,56,0,10,31,32,7,0,94,1,51,0,149,340,1,59,42,0,35,1,5,7,1,40,23.75,7,1,4.23,2.28,4.23,8,106,32,4,1,524,42,1,62,clean
1,21,34,0,32,0,6,16,16,2,0,29,3,36,0,85,15,1,31,21,0,20,0,1,2,1,16,67,2,1,4,0.18,4,16,66,16,1,1,120,21,1,45,clean
2,7,8,0,17,0,2,6,7,1,1,20,4,8,0,33,13,0,17,7,0,16,0,1,1,1,7,71,1,1,3,0.39,3,7,25,7,1,1,62,7,1,17,clean
1,20,37,4,44,1,21,2,5,8,0,18,2,43,0,110,36,0,45,20,0,13,2,2,8,1,5,40,9,4,21,0.33,17,5,81,5,1,4,157,21,4,56,clean
1,12,11,0,20,0,3,12,12,1,0,25,5,11,0,45,16,0,21,12,0,21,0,1,1,1,12,76,1,1,2,0.36,2,12,31,12,1,1,81,12,1,18,clean
15,28,63,0.21,52,0,23,13,16,3,0,135,6,82,0.38,156,19,0,52,28,0,24,3,9,3,1,16,9.38,5,2,10.75,0.12,10.37,16,115,16,8,1,197,32,1,87,clean
2,5,8,0,13,0,1,3,3,2,0,72,2,8,0,27,10,0,13,5,0,4,0,2,2,1,3,0,3,2,6,0.37,6,3,21,3,1,1,41,7,1,15,clean
13,265,283,0.54,225,0,11,11,13,19,2,104,1,309,0,627,80,0,201,274,0,78,0,7,22,1,159,4,33,3,5,0.13,5,13,508,53,12,2,770,309,2,369,clean
4,96,161,0,114,0,7,2,2,18,0,28,0,171,0,356,160,0,107,96,0,46,0,2,18,2,57,0,21,3,10,0.45,10,2,275,28,4,3,558,107,3,186,clean
1,152,240,2,168,12,22,3,27,18,0,40,2,255,0,516,90,0,156,152,0,55,12,2,18,2,64,85,26,6,19,0.17,18,27,408,27,1,5,621,185,5,267,clean
5,64,143,0.61,191,2,38,20,32,10,0,71,2,157,0.61,404,79,1,191,64,0,77,10,4,10,1,39,31,10,2,9.06,0.2,7.85,32,334,32,3,2,543,68,2,278,clean
5,6,20,0,16,3,6,3,6,1,0,45,2,28,0,49,15,0,14,6,0,8,0,4,1,1,6,4,1,1,5.27,0.31,5.27,6,36,6,3,1,72,6,1,29,clean
1,5,10,4,27,0,1,5,5,1,0,39,0,17,0,50,33,0,27,5,0,8,0,3,1,1,5,0,1,1,8,0.66,8,5,37,5,1,1,71,5,1,31,clean
2,30,47,0,28,0,4,17,17,10,0,30,2,49,0,106,38,1,31,30,1,26,0,1,10,1,30,66,10,2,5,0.36,5,17,75,17,1,1,170,35,1,44,clean
2,92,107,1,89,0,1,8,8,12,0,21,0,117,0,247,72,0,86,92,0,41,0,1,12,1,54,0,14,2,1,0.29,1,8,196,30,3,2,333,100,2,143,clean
2,9,10,0,28,0,11,5,6,3,0,26,0,10,0,49,14,1,29,9,0,12,1,3,3,1,6,83,3,1,5,0.29,5,6,38,6,1,1,74,9,1,29,clean
1,55,113,5,56,0,6,3,7,30,0,27,3,119,1,209,59,7,59,55,0,30,4,3,30,1,12,77,30,8,28,0.28,26,7,169,7,1,7,261,56,7,113,clean
2,12,19,0,26,5,7,4,9,4,0,35,6,21,0,63,16,1,28,12,0,19,0,4,4,1,9,35.5,4,1,5.14,0.25,5.14,7,45,9,2,1,97,12,1,31,clean
2,23,24,0,39,3,4,16,21,2,2,34,10,24,0,87,51,0,39,23,1,33,0,1,2,1,21,90,3,1,3,0.59,3,21,63,21,1,1,170,24,1,39,clean
2,12,19,0,27,5,7,4,9,4,0,35,6,20,0,64,17,1,30,12,0,19,0,4,4,1,9,35.5,4,1,5.14,0.27,5.14,7,46,9,2,1,98,12,1,32,clean
2,29,49,0,41,0,13,22,24,5,1,50,7,50,0,137,15,0,58,29,0,36,1,3,5,1,24,72,5,1,5.16,0.11,4.52,24,90,24,2,1,188,29,1,58,clean
1,3,9,0,11,0,2,3,3,1,0,16,0,9,0,24,11,0,11,3,0,5,0,2,1,1,3,0,1,1,5,0.46,5,2,20,3,1,1,40,3,1,16,buggy
1,14,24,0,30,2,9,1,3,11,0,27,0,27,0,75,17,0,32,14,0,8,0,2,11,1,3,0,13,5,19,0.23,18,3,54,3,1,4,99,16,4,35,clean
4,22,78,0,76,1,12,12,14,3,0,58,11,115,1.17,228,26,0,89,22,0,43,1,4,3,1,19,41,3,1,14.71,0.11,12.95,13,154,19,4,1,297,22,1,129,clean
1,3,6,4,8,0,3,1,1,3,0,35,0,7,2,18,17,0,7,3,0,5,0,3,3,1,1,0,3,3,15,0.94,13,1,14,1,1,3,36,3,3,11,clean
1,4,6,1,12,0,4,3,3,2,0,16,1,6,0,24,39,0,13,4,0,8,0,2,2,1,3,33,2,1,5,1.63,4,3,18,3,1,1,70,4,1,13,buggy
1,9,14,0,23,0,6,2,3,6,0,72,1,16,0,48,24,0,23,9,0,9,1,2,6,1,3,33,6,3,12,0.5,12,3,37,3,1,3,79,9,3,27,clean
1,13,26,0,22,1,7,1,5,4,0,83,3,28,0,60,11,0,20,13,0,11,3,3,4,1,5,60,4,2,10,0.18,10,5,48,5,1,2,81,13,2,35,clean
24,28,63,0,53,0,15,20,21,4,0,177,7,86,0,162,22,0,47,28,0,26,1,13,4,1,21,6.67,4,1,5.04,0.14,5.04,21,116,21,12,1,209,28,1,87,buggy
14,46,108,0.43,39,0,19,12,17,5,1,108,0,133,0.21,234,64,0,58,46,0,26,4,7,5,1,33,0,6,2,13.08,0.27,12.44,17,147,17,7,2,323,48,2,98,clean
22,190,273,0.19,168,0,20,15,15,17,0,171,2,307,0,532,36,0,143,190,0,83,0,14,17,1,115,2.75,20,1,4.75,0.07,4.65,15,441,51,19,1,640,210,1,355,clean
2,80,151,0,105,4,27,20,34,11,0,78,15,170,0,330,47,3,99,84,1,59,10,3,11,1,48,70.5,11,2,7.92,0.14,7.1,34,256,34,2,2,422,87,2,182,clean
1,30,56,3,29,0,9,7,7,22,0,34,2,65,0,114,40,2,31,30,0,21,0,2,22,1,7,75,34,6,17,0.35,14,5,85,7,1,4,160,42,4,52,clean
8,106,198,1.97,96,2,27,36,41,10,0,115,0,223,0.73,404,191,2,92,109,0,56,3,5,12,1,58,24.25,12,2,17.97,0.47,14.63,41,294,41,4,2,633,119,2,188,clean
1,55,118,1,85,0,10,14,16,19,0,29,9,126,1,252,53,3,78,55,0,45,2,2,19,1,28,81,21,3,16,0.21,13,16,203,16,1,3,350,62,3,154,clean
26,150,266,0.04,231,7,136,65,72,29,0,410,63,299,0.04,678,30,0,227,150,0,130,0,52,29,1,79,18.35,29,2,6.97,0.04,6.84,72,497,73,27,2,838,152,2,324,clean
1,38,67,0,34,0,13,1,8,22,0,21,1,80,1,143,17,0,35,38,0,21,7,2,22,4,35,87,31,6,16,0.12,15,8,101,8,1,4,178,55,4,62,clean
1,39,58,1,32,1,18,4,9,11,0,28,0,71,1,138,32,0,30,39,0,22,4,2,11,4,37,0,11,6,15,0.23,13,9,90,9,1,4,190,54,4,47,clean
7,86,171,2.03,89,2,29,7,20,14,0,72,9,178,0.36,336,73,2,89,86,0,45,11,5,14,1,31,20.75,18,4,13.67,0.22,12.36,20,260,20,4,4,432,95,4,170,clean
7,72,593,0,425,9,18,51,62,2,0,114,2,654,0.63,1224,266,1,439,72,0,187,2,5,2,1,62,10.25,3,1,14.86,0.22,13.6,60,1018,62,4,1,1677,74,1,888,clean
3,5,7,0,22,0,5,4,5,1,1,44,2,8,0,41,14,0,25,5,0,10,0,5,1,1,5,11,1,1,4.64,0.34,4.64,4,29,5,3,1,65,5,1,21,clean
8,26,40,0,43,3,8,17,21,6,1,88,2,57,0.39,124,52,0,41,26,0,28,0,5,6,1,21,20,6,1,7.83,0.42,7.06,21,83,21,4,1,203,26,1,54,clean
4,23,39,0,40,0,4,11,12,5,0,51,3,43,0.27,124,83,1,40,24,0,17,1,3,6,1,12,30,6,2,12.14,0.67,11.49,11,79,12,3,1,224,24,2,55,clean
7,102,249,13.93,112,5,62,22,27,16,0,92,0,278,14.8,514,1173,4,110,102,0,222,0,5,16,1,38,18.2,22,4,58.41,2.28,29.89,2,361,27,5,3,1905,116,3,263,clean
4,14,24,0,16,5,2,6,11,2,0,37,2,27,0,59,35,0,17,14,1,15,0,3,2,1,11,30,3,1,4.24,0.59,4.24,11,40,11,2,1,108,15,1,25,clean
4,29,78,8.77,56,0,29,3,7,12,0,48,0,103,7.13,192,163,3,64,29,1,70,4,6,12,2,14,16.67,13,4,37.69,0.85,25.23,7,134,7,3,4,395,31,4,105,clean
1,1,1,0,5,0,0,1,1,1,0,14,0,1,0,7,24,1,5,1,0,6,0,2,1,1,1,100,1,1,3,3.43,3,1,6,1,1,1,37,1,1,4,clean
1,12,21,0,28,0,14,5,5,7,0,74,2,25,0,69,17,1,31,12,0,12,0,2,7,1,5,60,8,3,9,0.25,9,4,49,5,1,2,96,15,2,35,clean
4,62,63,0,57,0,4,2,2,14,0,28,0,67,1,170,50,0,58,64,0,24,0,2,14,1,26,0,15,3,20,0.29,19,2,120,11,3,3,243,69,3,89,clean
27,52,141,0.18,96,12,35,29,41,3,0,258,5,173,0.13,315,46,0,90,52,0,62,0,19,3,1,43,6.2,3,1,5.18,0.15,4.59,41,237,41,15,1,417,52,1,183,clean
1,39,88,1,34,0,9,4,5,19,0,18,6,109,2,166,88,0,35,39,0,30,1,1,19,1,5,53,20,8,32,0.53,30,5,122,5,1,7,279,44,7,85,clean
1,45,79,0,60,0,3,17,19,6,0,32,0,91,0,196,210,6,60,45,0,35,2,2,6,1,21,86,6,2,10,1.07,9,0,139,19,1,2,434,47,2,93,clean
1,5,8,0,10,1,1,1,3,3,0,16,0,9,0,25,48,0,11,5,0,4,1,2,3,1,3,0,3,1,6,1.92,6,2,18,3,1,1,77,5,1,12,clean
6,29,62,2.13,79,0,21,4,6,14,0,45,0,74,0.38,180,37,0,80,32,0,12,2,3,17,3,19,0,17,6,20.78,0.21,19.27,6,141,6,3,4,220,36,5,117,clean
1,38,71,0,46,4,12,3,11,8,0,24,6,75,0,146,16,1,42,38,0,21,4,1,8,2,22,76,9,3,12,0.11,11,11,117,11,1,3,177,39,3,82,clean
4,31,75,0.39,42,2,17,8,12,10,0,51,7,84,0,177,25,3,49,31,0,16,2,5,10,1,22,41.33,10,3,11.37,0.14,11.37,12,117,12,3,2,212,36,2,79,clean
1,3,3,0,9,1,5,2,3,1,0,26,0,3,0,18,13,1,11,3,0,7,0,2,1,1,3,33,1,1,3,0.72,3,3,12,3,1,1,38,3,1,8,clean
2,9,17,0,12,0,2,5,5,5,0,18,0,17,0,40,16,0,13,11,0,8,0,2,7,2,11,0,7,2,6,0.4,6,5,29,5,1,1,63,11,2,19,clean
1,5,9,0,20,0,7,3,3,3,0,72,1,10,0,38,13,0,22,5,0,9,0,2,3,1,3,33,5,2,7,0.34,7,3,29,3,1,1,60,7,1,23,clean
5,27,46,0,30,1,7,7,8,8,0,34,3,48,0,99,29,0,29,27,0,16,0,3,8,3,24,30.5,11,4,8.71,0.29,8.12,8,76,8,2,3,144,34,3,48,clean
2,6,11,2,17,1,5,2,3,3,0,16,3,10,0,34,22,0,18,6,1,9,0,2,3,1,5,44,3,2,9,0.65,7,3,28,3,1,2,64,6,2,21,clean
2,41,66,0,70,0,14,10,12,10,0,38,3,72,0,178,91,0,64,41,0,19,2,2,10,2,24,31,13,4,10.97,0.51,10.97,12,136,12,2,3,284,49,3,99,clean
25,123,260,0.05,219,14,43,32,60,6,0,420,16,309,0,648,90,3,225,127,0,121,14,24,6,1,85,17.13,7,1,7.68,0.14,7.5,60,479,80,18,1,838,129,1,348,clean
1,3,5,1,7,1,0,1,2,2,0,18,0,5,0,16,17,0,7,3,0,5,0,3,2,1,2,0,3,2,7,1.06,5,2,12,2,1,1,38,4,1,8,clean
12,95,191,0.06,154,4,35,14,33,11,5,246,19,209,0.67,425,66,1,150,95,0,71,10,14,11,1,55,25.5,11,3,11.94,0.16,10.38,31,345,33,8,2,553,106,2,250,buggy
1,26,56,3,48,0,6,7,8,7,0,21,0,60,1,128,51,2,45,26,0,23,1,1,7,2,18,81,8,3,16,0.4,13,0,104,8,1,3,189,28,3,81,clean
37,43,74,0,77,1,35,39,43,1,0,327,2,129,0,238,44,0,65,43,0,51,3,22,1,1,43,1.63,1,1,4.42,0.18,4.19,42,151,43,19,1,333,43,1,107,clean
3,9,14,0,34,0,5,6,7,2,1,46,3,16,0,64,10,0,37,9,0,14,0,6,2,1,7,20,2,1,5.09,0.16,5.09,6,48,7,3,1,88,9,1,37,clean
4,15,44,5.31,54,2,10,4,6,7,0,32,1,51,4.44,125,48,0,55,15,0,30,0,3,7,1,11,20,7,2,26.44,0.38,18.13,6,98,6,2,2,197,16,2,82,clean
