@relation 'data/final_7030.csv-weka.filters.unsupervised.attribute.Remove-R40-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R99-weka.filters.unsupervised.attribute.Remove-R1-3,6-16,18-24,27-29,31-34,36-52,55-59,63-82,84-91,93-107,109-113'

@attribute BUGFIXES numeric
@attribute AGE numeric
@attribute LOC_ADDED numeric
@attribute AVE_LOC_ADDED numeric
@attribute REVISONS numeric
@attribute MAX_CODECHURN numeric
@attribute WEIGHTD_AGE numeric
@attribute MAX_LOC_DELETED numeric
@attribute AUTHORS numeric
@attribute AVG_LOC_DELETED numeric
@attribute LOC_DELETED numeric
@attribute MAX_LOC_ADDED numeric
@attribute AVE_CODECHURN numeric
@attribute CODECHURN numeric
@attribute REFACTORINGS numeric
@attribute class {buggy,clean}

@data
4,132,106,7,7,19,84.132072,84,3,12,131,49,2.714286,-25,1,clean
0,32,62,1.291667,24,25,41.677418,31,3,1.291667,57,31,1.041667,5,0,clean
2,65,219,32,5,127,62.19178,59,2,11.8,92,160,25.4,127,0,clean
3,0,1679,36.714287,14,514,27.325193,148,1,10.571428,366,514,36.714287,1313,0,clean
0,32,120,6.571429,7,46,29.616667,35,1,5,47,46,6.571429,73,0,clean
3,32,283,2,45,57,66.915192,33,3,0.733333,104,90,1.266667,179,0,buggy
7,213,160,6,15,21,128.893753,108,3,7.2,144,90,1.4,16,0,clean
2,74,72,11,5,55,50.875,2,2,0.4,5,55,11,67,1,clean
1,48,0,0,3,0,0,0,1,0,0,0,0,0,0,clean
5,101,55,1.818182,11,18,61.836365,9,2,0.818182,29,20,1.636364,26,0,clean
7,165,236,5.111111,18,23,62.194916,103,3,5.722222,250,92,1.277778,-14,0,clean
16,69,1440,12.108109,37,316,133.565277,132,6,3.567568,373,448,8.540541,1067,0,clean
3,150,21,2.75,4,10,104.476189,1,2,0.25,2,11,2.5,19,0,clean
1,48,0,0,3,0,0,0,1,0,0,0,0,0,0,clean
50,56,3353,7.206185,97,298,104.531761,407,9,4.195876,1994,699,3.072165,1359,0,clean
21,71,1302,12.263158,38,333,129.932419,340,3,8.947369,679,466,8.763158,623,0,clean
6,108,133,4.428571,14,23,57.330826,39,4,2.785714,84,62,1.642857,49,0,clean
20,58,818,11.846154,26,100,140.081909,285,1,10.961538,487,308,3.846154,331,0,clean
12,24,220,2.2,20,37,86.88636,115,4,5.75,286,44,1.85,-66,0,clean
42,20,1862,3.602273,88,297,77.538666,297,5,3.375,1668,317,3.375,194,0,clean
2,96,121,18,4,64,94.785126,14,1,3.5,22,72,16,99,0,clean
2,212,26,0.145161,124,9,114.615387,24,1,0.193548,35,18,0.072581,-9,0,clean
3,185,107,1.25641,39,47,57.289719,29,2,0.74359,51,49,1.205128,56,0,clean
0,185,0,0,1,0,0,0,0,0,0,0,0,0,0,clean
0,5,6,1.666667,3,5,1.833333,1,1,0.333333,1,5,1.666667,5,0,clean
5,29,140,3.25,20,43,20.764286,50,2,2.5,70,65,2.15,70,1,buggy
15,20,0,0,32,0,0,0,3,0,0,0,0,0,2,clean
6,136,0,0,7,0,0,0,2,0,0,0,0,0,0,clean
39,79,0,0,90,0,0,0,3,0,0,0,0,0,3,buggy
10,102,0,0,23,0,0,0,2,0,0,0,0,0,4,clean
10,100,685,6.25,20,107,63.525547,43,2,2.15,196,125,5.35,489,0,clean
4,102,0,0,10,0,0,0,2,0,0,0,0,0,1,clean
0,76,109,12.8,5,64,75.587158,37,2,7.4,39,64,12.8,70,0,clean
7,91,0,0,15,0,0,0,2,0,0,0,0,0,1,clean
4,24,27,2,5,10,42.814816,8,1,1.6,10,10,2,17,0,clean
7,91,0,0,11,0,0,0,2,0,0,0,0,0,1,clean
4,24,77,6.8,5,1,33.584415,35,1,7,79,34,0.2,-2,0,clean
8,89,56,0.75,16,3,42.464287,18,2,1.125,66,12,0.1875,-10,1,clean
9,205,232,7.35,20,145,118.224136,17,4,0.85,65,147,7.25,167,1,clean
6,24,478,16.272728,11,139,54.087868,81,1,7.363637,210,179,12.636364,268,0,clean
0,106,2,0.2,5,0,53,6,3,1.2,7,1,0,-5,0,clean
2,73,113,3.4,10,23,62.619469,32,1,3.2,87,34,2.3,26,0,clean
3,74,14,0.333333,12,0,69.285713,6,5,0.5,21,4,0,-7,1,clean
18,21,0,0,48,0,0,0,3,0,0,0,0,0,1,buggy
2,40,17,0.666667,9,3,57.35294,7,3,0.777778,15,6,0.333333,2,1,clean
8,93,0,0,17,0,0,0,3,0,0,0,0,0,0,buggy
2,40,78,5.1,10,51,56.756409,51,2,5.1,60,51,5.1,18,0,clean
2,74,244,18.083334,12,4,82.553276,221,3,18.416666,239,217,0.333333,5,1,clean
0,63,158,6.076923,13,79,62.772152,79,1,6.076923,94,79,6.076923,64,0,clean
5,89,0,0,10,0,0,0,3,0,0,0,0,0,0,clean
3,78,179,2.611111,18,47,62.407822,50,6,2.777778,144,47,2.611111,35,1,clean
2,84,158,1.25,44,51,92.29747,8,1,0.181818,19,55,1.159091,139,0,buggy
2,78,571,21.894737,19,416,59.644482,416,2,21.894737,569,416,21.894737,2,0,clean
1,71,914,11.925926,27,322,77.514221,245,2,9.074074,394,322,11.925926,520,1,clean
2,106,33,1.4,10,13,54.242424,4,2,0.4,14,14,1.3,19,0,clean
4,29,26,3.333333,6,4,27.384615,17,2,2.833333,19,20,0.666667,7,0,clean
