@relation 'data/final_5050.csv-weka.filters.unsupervised.attribute.Remove-R40-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R6-15,18,20-24,27-29,37-40,42-43,46-48,68-69,71-76,84-91,93-94,101,103-105,107-108,110-112,114-weka.filters.unsupervised.attribute.Remove-R53-weka.filters.unsupervised.attribute.Remove-R4-5,7,9-11,16,25-26,32-34,47-48,56'

@attribute CntClassBase numeric
@attribute SumCyclomaticModified numeric
@attribute CountStmtExe numeric
@attribute AvgLineComment numeric
@attribute CountStmtDecl numeric
@attribute CntDeclMethodProtected numeric
@attribute CntClassCoupled numeric
@attribute CntDeclMethodPublic numeric
@attribute CntDeclMethod numeric
@attribute MaxCyclomaticModified numeric
@attribute CntDeclMethodDefault numeric
@attribute CntDeclMethodAll numeric
@attribute CntDeclInstanceVariable numeric
@attribute CountLineCodeExe numeric
@attribute AvgLineBlank numeric
@attribute CountLineCode numeric
@attribute CountLineComment numeric
@attribute CntDeclClassVariable numeric
@attribute CountLineCodeDecl numeric
@attribute SumCyclomatic numeric
@attribute CntClassDerived numeric
@attribute CountLineBlank numeric
@attribute CntDeclMethodPrivate numeric
@attribute MxInheritanceTree numeric
@attribute MaxCyclomatic numeric
@attribute AvgEssential numeric
@attribute SumEssential numeric
@attribute PcntLackOfCohesion numeric
@attribute MaxCyclomaticStrict numeric
@attribute AvgCyclomaticStrict numeric
@attribute AvgLine numeric
@attribute RatioCommentToCode numeric
@attribute AvgLineCode numeric
@attribute CntDeclInstanceMethod numeric
@attribute CountStmt numeric
@attribute CountDeclFunction numeric
@attribute CountDeclClass numeric
@attribute AvgCyclomaticModified numeric
@attribute CountLine numeric
@attribute SumCyclomaticStrict numeric
@attribute AvgCyclomatic numeric
@attribute CountSemicolon numeric
@attribute class {buggy,clean}

@data
8,106,198,1.97,96,2,27,36,41,10,0,115,0,223,0.73,404,191,2,92,109,0,56,3,5,12,1,58,24.25,12,2,17.97,0.47,14.63,41,294,41,4,2,633,119,2,188,clean
1,55,118,1,85,0,10,14,16,19,0,29,9,126,1,252,53,3,78,55,0,45,2,2,19,1,28,81,21,3,16,0.21,13,16,203,16,1,3,350,62,3,154,clean
7,55,458,0,324,7,17,39,48,2,0,100,2,507,0.58,977,161,1,339,55,0,150,2,5,2,1,48,9.75,3,1,14.58,0.16,13.42,47,782,48,4,1,1288,56,1,683,clean
7,83,161,2.03,99,1,26,7,18,14,0,70,9,167,0.34,331,58,2,99,83,0,45,10,5,14,1,29,20,18,5,13.86,0.18,12.6,18,260,18,4,4,411,92,4,174,clean
5,11,16,0,24,3,0,7,10,2,0,49,1,25,0.86,59,52,0,23,11,0,11,0,4,2,1,10,20,2,1,10.49,0.88,9.63,10,40,10,3,1,121,11,1,28,clean
4,23,39,0,40,0,4,11,12,5,0,51,3,43,0.27,124,83,1,40,24,0,17,1,3,6,1,12,30,6,2,12.14,0.67,11.49,11,79,12,3,1,224,24,2,55,clean
3,97,239,20.03,106,3,58,22,25,16,0,64,0,266,20.84,488,1165,2,102,97,0,217,0,3,16,1,36,28.67,22,4,79.91,2.39,39.91,0,345,25,3,3,1866,110,3,252,clean
4,29,77,6.5,55,0,29,3,7,12,0,48,0,102,6.81,190,146,3,63,29,1,68,4,6,12,2,14,16.67,13,4,36.75,0.77,24.92,7,132,7,3,4,386,31,4,103,clean
1,8,15,0,21,0,4,2,3,5,0,72,1,17,0,48,12,2,22,8,0,10,1,2,5,1,3,55,6,3,10,0.25,10,3,36,3,1,2,70,11,2,26,buggy
1,1,1,0,5,0,0,1,1,1,0,14,0,1,0,7,24,1,5,1,0,6,0,2,1,1,1,100,1,1,3,3.43,3,1,6,1,1,1,37,1,1,4,clean
7,15,33,0,35,4,7,8,12,2,0,64,3,43,0,92,12,0,33,15,0,16,0,5,2,1,12,13.75,2,1,4.72,0.13,4.72,12,68,12,4,1,118,15,1,52,clean
4,61,63,0,57,0,4,2,2,13,0,28,0,67,1,170,50,0,58,63,0,24,0,2,13,1,26,0,14,3,20,0.29,19,2,120,11,3,3,243,68,3,89,clean
1,39,88,1,34,0,9,4,5,19,0,18,6,109,2,166,88,0,35,39,0,30,1,1,19,1,5,53,20,8,32,0.53,30,5,122,5,1,7,279,44,7,85,clean
9,27,72,0,65,3,8,6,10,5,0,75,8,104,0.19,193,40,0,62,31,0,12,1,5,8,1,10,10,10,3,13.65,0.21,13.47,9,137,10,5,2,244,33,3,119,buggy
1,45,79,0,60,0,3,17,19,6,0,32,0,91,0,196,210,6,60,45,0,35,2,2,6,1,21,86,6,2,10,1.07,9,0,139,19,1,2,434,47,2,93,clean
6,29,62,2.13,79,0,20,4,6,14,0,45,0,74,0.38,180,37,0,80,32,0,12,2,3,17,3,19,0,17,6,20.78,0.21,19.27,6,141,6,3,4,220,36,5,117,clean
5,27,69,0.39,41,2,13,6,10,12,0,49,6,79,0,157,24,3,43,27,0,13,2,4,12,2,20,24.67,12,3,13.33,0.15,12.94,10,110,10,3,2,188,31,2,81,clean
2,8,15,0,10,0,2,4,4,5,0,17,0,15,0,35,16,0,11,10,0,7,0,2,7,2,10,0,7,2,6,0.46,6,4,25,4,1,2,57,10,2,16,clean
1,5,9,0,20,0,6,3,3,3,0,72,1,10,0,37,10,0,22,5,0,9,0,2,3,1,3,33,5,2,7,0.27,7,3,29,3,1,1,56,7,1,23,buggy
2,6,11,2,16,1,3,2,3,3,0,16,2,10,0,33,21,0,17,6,0,11,0,2,3,1,5,33,3,2,9,0.64,7,3,27,3,1,2,64,6,2,20,buggy
12,86,166,0.06,126,4,31,14,31,11,5,241,19,183,0.66,369,62,1,123,86,0,71,8,14,11,1,46,25.75,11,3,11.4,0.17,10.31,29,292,31,8,2,493,96,2,205,buggy
37,43,74,0,77,1,35,39,43,1,0,327,2,129,0,238,44,0,65,43,0,51,3,22,1,1,43,1.63,1,1,4.42,0.18,4.19,42,151,43,19,1,333,43,1,107,clean
1,26,56,2,48,0,5,7,8,7,0,21,0,60,1,128,45,2,45,26,0,22,1,1,7,2,18,81,8,3,15,0.35,13,0,104,8,1,3,182,28,3,81,clean
3,9,14,0,34,0,5,6,7,2,1,46,3,16,0,64,10,0,37,9,0,14,0,6,2,1,7,20,2,1,5.09,0.16,5.09,6,48,7,3,1,88,9,1,37,clean
4,15,45,5.75,54,2,10,4,6,7,0,32,1,52,5.31,126,49,0,55,15,0,32,0,3,7,1,11,20,7,2,28.75,0.39,18.56,6,99,6,2,2,201,16,2,83,clean
2,60,107,0,78,2,15,28,31,8,0,44,2,119,0,281,268,6,79,64,0,57,1,2,8,1,43,93,9,2,8,0.95,8,31,185,31,1,1,596,70,2,124,clean
3,9,14,0,34,0,7,6,7,2,1,46,3,16,0,64,10,0,37,9,0,14,0,6,2,1,7,20,2,1,5.09,0.16,5.09,6,48,7,3,1,88,9,1,37,clean
1,6,8,0,15,0,3,4,4,2,0,17,0,8,0,29,10,1,15,6,0,8,0,2,2,1,4,75,2,1,4,0.34,4,2,23,4,1,1,47,6,1,16,clean
11,140,252,1.18,222,2,48,77,92,7,4,365,45,303,0.12,685,856,3,237,140,6,210,9,23,7,1,92,58.33,10,1,6.95,1.25,5.78,92,474,92,9,1,1662,148,1,327,clean
6,27,34,0,52,2,7,17,19,6,0,58,1,40,0,123,101,2,56,27,0,24,0,3,6,1,21,24,6,1,4.55,0.82,4.55,17,86,19,3,1,248,27,1,61,buggy
34,150,292,0.37,209,12,62,39,62,9,0,306,18,329,0.38,645,80,3,192,150,1,101,11,22,9,1,80,5.17,9,2,10.24,0.12,9.38,62,501,62,18,2,812,159,2,348,clean
1,207,799,7,221,0,30,9,29,45,0,42,0,914,4,1328,287,7,225,207,0,161,20,2,45,2,61,94,53,8,55,0.22,44,26,1020,29,1,7,1753,236,7,849,clean
33,538,1118,0.57,613,13,49,81,146,31,0,374,39,1235,0.65,2571,448,7,629,542,0,330,52,18,33,1,281,21.31,54,4,15.63,0.17,14.05,146,1731,156,17,3,3314,674,3,1213,clean
1,27,48,2,54,0,20,4,5,12,0,18,0,56,4,133,104,5,51,27,0,36,1,1,12,2,10,92,13,5,26,0.78,21,0,102,5,1,5,260,29,5,81,clean
5,90,142,0,116,6,9,46,52,7,0,78,3,161,0,360,187,1,119,90,0,56,0,3,7,1,65,44.5,20,2,6.13,0.52,6.13,51,258,52,2,1,598,109,1,167,clean
17,71,152,0.51,95,1,26,17,25,15,3,142,15,174,0.1,322,41,0,89,71,0,36,4,10,15,1,29,9.44,17,3,9.72,0.13,9.1,25,247,25,9,2,392,80,2,176,clean
1,8,52,2,58,2,11,4,6,3,0,30,2,54,2,128,25,1,65,8,0,30,0,3,3,1,6,33,3,1,22,0.2,17,6,110,6,1,1,180,8,1,103,buggy
1,11,21,7,9,0,6,2,2,9,0,15,0,26,0,45,25,0,9,11,0,5,0,1,9,1,2,0,10,6,23,0.56,19,0,30,2,1,5,68,13,5,20,clean
1,240,421,0,279,2,40,61,76,10,0,89,13,494,0,1008,111,24,281,240,0,157,13,1,10,1,98,95,17,3,13,0.11,12,75,700,76,1,3,1271,280,3,425,buggy
2,28,44,0,43,0,11,13,13,4,0,26,3,48,0,116,24,0,40,28,0,20,0,1,4,1,15,58,5,2,7,0.21,7,13,87,13,1,2,160,29,2,51,clean
1,36,89,0,62,0,4,10,18,6,2,31,9,93,0,182,48,11,59,36,0,11,6,1,6,1,20,88,6,2,8,0.26,8,18,151,18,1,2,226,39,2,117,clean
1,12,39,0,32,2,4,8,10,2,0,34,2,39,0,84,13,0,32,12,0,21,0,3,2,1,10,30,2,1,8,0.15,7,10,71,10,1,1,118,12,1,60,clean
2,34,43,0,54,0,13,17,17,4,0,30,4,44,0,122,23,0,43,34,0,25,0,1,4,1,17,72,4,2,6,0.19,6,17,97,17,1,2,170,34,2,50,buggy
1,2,31,0,15,0,8,2,2,1,0,26,0,34,3,52,11,0,15,2,0,12,0,3,1,1,2,0,1,1,24,0.21,21,2,46,2,1,1,75,2,1,43,clean
5,51,76,0,66,1,19,18,21,12,0,60,6,85,0,200,19,1,63,51,0,32,2,3,12,1,27,26.33,12,2,7.62,0.1,7.27,21,142,21,3,2,251,51,2,83,clean
3,99,173,0.56,147,3,20,33,38,8,0,77,14,172,0,414,147,11,144,99,0,62,2,3,8,1,63,54.67,9,2,8.68,0.36,8.12,32,320,38,3,2,594,108,2,221,clean
3,22,43,0,35,0,9,7,7,9,0,20,8,50,1,105,13,1,35,26,0,20,0,2,11,3,22,71,13,4,12,0.12,11,7,78,7,1,3,136,29,3,55,clean
1,4,9,0,13,1,2,1,2,2,0,93,0,10,0,29,10,1,14,4,0,7,0,4,2,1,2,50,2,2,9,0.34,9,2,22,2,1,2,46,4,2,17,buggy
1,4,5,0,10,0,2,2,2,3,0,15,0,5,0,20,10,0,11,4,0,6,0,2,3,1,2,0,3,2,6,0.5,6,2,15,2,1,2,36,4,2,10,buggy
14,47,95,0.93,69,0,22,13,17,8,0,108,0,109,0.22,243,106,1,88,50,0,25,4,7,8,1,20,11.57,9,3,9.35,0.44,8.46,17,164,17,7,2,362,55,2,119,buggy
3,9,16,0,27,0,12,6,6,2,0,39,2,17,0,59,51,0,33,9,0,9,0,3,2,1,6,49.5,4,1,10.31,0.86,10.31,6,43,6,2,1,119,11,1,33,clean
3,15,38,1.65,22,0,4,4,5,6,0,31,6,69,0,109,44,3,22,23,1,9,1,2,12,3,18,25,12,4,15.06,0.4,13.97,5,60,5,2,3,154,23,4,44,clean
3,6,9,0,16,0,6,4,4,3,0,34,2,11,0,32,33,0,14,6,0,4,0,3,3,1,4,16.5,4,1,5.35,1.03,5.35,4,25,4,2,1,68,7,1,19,clean
3,20,93,0,56,5,7,9,14,5,0,40,12,97,0,173,89,0,55,20,0,27,0,3,5,1,14,41.5,6,1,8.85,0.51,8.2,14,149,14,2,1,289,21,1,128,clean
4,10,10,0,31,0,14,4,5,3,0,31,1,16,0,56,10,0,30,10,0,9,1,3,3,1,5,37.5,3,2,9.81,0.18,9.81,4,41,5,2,2,75,10,2,31,clean
4,31,61,0,62,0,7,3,3,6,0,29,0,68,0,153,17,0,61,31,0,26,0,3,6,1,20,0,6,2,9.41,0.11,9.41,3,123,16,3,1,193,32,1,92,clean
3,44,74,0,57,9,11,7,22,5,0,48,5,77,0,171,83,0,59,44,0,32,6,4,5,1,26,40.5,7,2,6.31,0.49,6.31,22,131,22,2,2,285,49,2,85,clean
7,43,83,0.34,70,0,22,19,20,7,0,83,3,81,0.34,180,39,10,70,43,0,60,1,7,7,1,34,20.25,7,2,5.14,0.22,4.47,20,153,22,5,1,272,47,1,105,clean
3,7,22,8,23,0,2,2,2,4,0,28,0,25,1,53,24,0,21,7,0,5,0,2,4,1,2,0,4,3,41.5,0.45,32.5,1,45,2,2,3,82,7,3,38,clean
1,18,41,0,61,0,18,7,8,6,0,43,2,42,1,115,14,0,54,18,0,26,1,3,6,1,13,50,6,2,12,0.12,10,5,102,8,1,2,155,18,2,90,clean
8,18,30,0,40,0,7,11,11,3,0,63,5,41,0.51,100,23,1,40,18,0,19,0,5,3,1,15,39,3,1,8.78,0.23,7.98,11,70,11,4,1,142,18,1,51,clean
3,25,51,8,48,0,19,2,2,24,0,28,0,68,5.5,142,26,0,53,28,0,16,0,2,27,2,5,0,27,14,72,0.18,65,1,99,2,2,12,171,28,14,79,buggy
15,41,133,1.41,85,1,22,15,20,12,0,124,4,161,1.19,287,114,2,85,41,0,63,4,9,12,1,24,10.38,18,2,13.3,0.4,10.51,20,218,20,8,2,463,48,2,171,buggy
1,12,36,0,31,0,7,7,7,4,0,20,8,37,0,80,53,0,31,12,0,18,0,1,4,1,7,66,4,1,9,0.66,8,7,67,7,1,1,150,12,1,54,buggy
