@relation 'data/final_8020_regression.csv-weka.filters.unsupervised.attribute.Remove-R41-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R100-weka.filters.unsupervised.attribute.Remove-R115-weka.filters.unsupervised.attribute.Remove-R1-3,7-17,19-25,28-30,32-35,37-53,56-60,64-83,85-92,94-108,110-114'

@attribute BUGFIXES numeric
@attribute AGE numeric
@attribute postbugs numeric
@attribute LOC_ADDED numeric
@attribute AVE_LOC_ADDED numeric
@attribute REVISONS numeric
@attribute MAX_CODECHURN numeric
@attribute WEIGHTD_AGE numeric
@attribute MAX_LOC_DELETED numeric
@attribute AUTHORS numeric
@attribute AVG_LOC_DELETED numeric
@attribute LOC_DELETED numeric
@attribute MAX_LOC_ADDED numeric
@attribute AVE_CODECHURN numeric
@attribute CODECHURN numeric
@attribute REFACTORINGS numeric

@data
23,131,0,0,0,49,0,0,0,3,0,0,0,0,0,1
47,24,4,0,0,102,0,0,0,3,0,0,0,0,0,2
11,126,0,0,0,28,0,0,0,3,0,0,0,0,0,0
10,126,0,0,0,24,0,0,0,3,0,0,0,0,0,0
34,23,1,0,0,83,0,0,0,4,0,0,0,0,0,0
11,126,0,0,0,22,0,0,0,3,0,0,0,0,0,0
15,120,0,0,0,28,0,0,0,3,0,0,0,0,0,0
9,232,0,232,7.35,20,145,145.172409,17,4,0.85,65,147,7.25,167,1
0,133,0,6,0.8,5,1,35.333332,6,3,1.2,10,4,0.2,-4,0
3,48,0,18,0.333333,12,1,77.611115,6,5,0.5,24,4,0.083333,-6,1
2,67,0,21,0.666667,9,3,70.761902,7,3,0.777778,18,6,0.333333,3,1
2,67,0,81,5.1,10,51,81.135803,51,2,5.1,62,51,5.1,19,0
3,48,0,257,18.083334,12,7,104.669258,221,4,18.416666,244,217,0.583333,13,1
0,90,0,162,6.076923,13,79,87.851852,79,1,6.076923,97,79,6.076923,65,0
3,51,0,183,2.611111,18,47,87.404373,50,6,2.777778,147,47,2.611111,36,1
3,51,0,613,21.894737,19,416,81.582382,416,3,21.894737,574,416,21.894737,39,0
1,212,0,4,0.181818,11,0,180.25,2,1,0.181818,4,2,0,0,0
0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0
1,202,0,26,2.333333,6,12,151.615387,2,1,0.333333,4,14,2,22,0
8,36,0,185,3.142857,14,29,33.702702,31,2,2.214286,121,44,2.071429,64,2
1,202,0,15,1.1,10,8,134.733337,3,1,0.3,7,11,0.8,8,0
2,52,0,130,14.8,5,74,47.692307,0,1,0,0,74,14.8,130,0
2,205,0,18,1.625,8,11,96.166664,4,2,0.5,8,13,1.375,10,0
3,48,0,19,0.307692,13,1,80.947365,6,5,0.461538,23,4,0.076923,-4,1
2,19,0,99,2,22,26,92.444443,64,5,2.909091,84,44,1.181818,15,0
5,205,1,172,4.666667,12,52,97.511627,42,3,3.5,72,56,4.333334,100,0
1,188,4,24,0.454545,22,4,181.541672,96,1,4.363637,103,10,0.181818,-79,0
3,246,3,144,0.640719,167,105,174.361115,2,2,0.011976,8,107,0.628743,136,1
1,91,0,6,1.666667,3,4,70,1,1,0.333333,2,5,1.333333,4,0
1,91,0,6,1.666667,3,4,70,1,1,0.333333,2,5,1.333333,4,0
11,2,0,201,2.125,16,28,22.064676,25,2,1.5625,95,34,1.75,106,0
0,73,0,0,0,20,0,0,0,0,0,0,0,0,0,0
18,112,3,2562,16.961039,77,142,60.750977,1306,3,16.961039,1936,1306,1.844156,626,0
2,38,0,0,0,19,0,0,0,2,0,0,0,0,0,0
2,110,0,68,13.666667,3,14,105.617645,41,1,13.666667,68,41,4.666667,0,0
3,282,3,13,0.051282,78,1,159.846161,10,2,0.128205,24,4,0.012821,-11,0
0,397,0,3,0.222222,9,0,176,2,1,0.222222,3,2,0,0,0
2,104,0,177,16.333334,9,126,83.384178,29,2,3.222222,54,147,14,123,0
0,21,0,0,0,2,0,0,0,2,0,0,0,0,0,0
7,158,0,32,0.257143,35,8,152.375,8,2,0.228571,21,9,0.228571,11,0
6,19,0,128,4.9375,16,41,42.328125,44,5,2.75,112,79,2.5625,16,0
3,164,0,56,0.555556,45,12,161.392853,13,1,0.288889,31,25,0.266667,25,0
13,103,0,0,0,24,0,0,0,3,0,0,0,0,0,0
7,34,0,62,0.178082,73,8,123.129036,9,3,0.123288,36,13,0.109589,26,0
1,383,0,5,0.076923,26,0,157.800003,2,1,0.076923,5,2,0,0,0
4,47,0,0,0,7,0,0,0,1,0,0,0,0,0,0
3,75,0,146,18.333334,6,102,66.568497,21,2,3.5,32,110,17,114,3
1,37,0,0,0,6,0,0,0,1,0,0,0,0,0,0
6,56,0,62,2.875,8,15,44.129032,11,2,1.375,27,23,1.875,35,0
9,116,0,0,0,12,0,0,0,2,0,0,0,0,0,0
2,24,0,0,0,5,0,0,0,1,0,0,0,0,0,0
2,27,1,0,0,8,0,0,0,1,0,0,0,0,0,0
8,120,0,0,0,17,0,0,0,3,0,0,0,0,0,0
6,22,3,48,0.080537,149,6,92.75,19,2,0.127517,46,12,0.040268,2,0
3,98,4,23,0.888889,9,5,153.260864,4,2,0.444444,14,8,0.555556,9,0
3,212,2,81,1.2,50,3,167.296295,85,1,1.7,103,60,0.06,-22,0
9,134,0,0,0,18,0,0,0,3,0,0,0,0,0,1
8,51,4,194,2.5,38,87,122.386597,11,1,0.289474,48,95,2.289474,146,0
11,163,1,0,0,22,0,0,0,3,0,0,0,0,0,2
12,42,1,0,0,34,0,0,0,3,0,0,0,0,0,0
9,123,0,0,0,16,0,0,0,2,0,0,0,0,0,1
8,42,0,127,6.222222,9,13,18.35433,50,1,5.555555,107,56,1.444444,20,0
2,75,0,19,9.5,2,14,70,5,2,2.5,5,19,7,14,1
14,163,0,0,0,25,0,0,0,2,0,0,0,0,0,2
6,121,1,0,0,23,0,0,0,3,0,0,0,0,0,0
1,33,0,1,0.5,2,0,32,1,1,0.5,1,1,0,0,0
25,37,0,3184,4.987179,78,270,48.08009,132,3,1.692308,1130,389,3.461539,2054,4
6,56,0,29,1.636364,11,1,48.517242,24,2,2.181818,37,18,0.090909,-8,0
2,33,0,9,0.833333,6,5,32.333332,1,1,0.166667,1,5,0.833333,8,0
1,33,0,1,0.5,2,0,32,1,1,0.5,1,1,0,0,0
6,146,0,818,65.818184,11,687,116.658928,37,3,3.363636,51,724,62.454544,767,0
12,146,0,532,5.95,20,101,112.825188,77,4,3.85,166,119,5.05,366,0
