@relation 'data/final_8020_etc.csv-weka.filters.unsupervised.attribute.Remove-R40-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R99-weka.filters.unsupervised.attribute.Remove-R6-15,18,20-24,27-29,37-40,42-43,46-48,68-69,71-76,84-91,93-94,100,102-104,106-107,109-111,113'

@attribute CntClassBase numeric
@attribute SumCyclomaticModified numeric
@attribute CountStmtExe numeric
@attribute BUGFIXES numeric
@attribute AGE numeric
@attribute AvgLineComment numeric
@attribute LOC_ADDED numeric
@attribute CountStmtDecl numeric
@attribute AVE_LOC_ADDED numeric
@attribute REVISONS numeric
@attribute MAX_CODECHURN numeric
@attribute CntDeclMethodProtected numeric
@attribute CntClassCoupled numeric
@attribute CntDeclMethodPublic numeric
@attribute CntDeclMethod numeric
@attribute WEIGHTD_AGE numeric
@attribute MaxCyclomaticModified numeric
@attribute CntDeclMethodDefault numeric
@attribute CntDeclMethodAll numeric
@attribute CntDeclInstanceVariable numeric
@attribute CountLineCodeExe numeric
@attribute AvgLineBlank numeric
@attribute CountLineCode numeric
@attribute CountLineComment numeric
@attribute MAX_LOC_DELETED numeric
@attribute AUTHORS numeric
@attribute CntDeclClassVariable numeric
@attribute CountLineCodeDecl numeric
@attribute SumCyclomatic numeric
@attribute CntClassDerived numeric
@attribute CountLineBlank numeric
@attribute AVG_LOC_DELETED numeric
@attribute LOC_DELETED numeric
@attribute MAX_LOC_ADDED numeric
@attribute CntDeclMethodPrivate numeric
@attribute MxInheritanceTree numeric
@attribute MaxCyclomatic numeric
@attribute AvgEssential numeric
@attribute SumEssential numeric
@attribute PcntLackOfCohesion numeric
@attribute MaxCyclomaticStrict numeric
@attribute AvgCyclomaticStrict numeric
@attribute AvgLine numeric
@attribute RatioCommentToCode numeric
@attribute AvgLineCode numeric
@attribute CntDeclInstanceMethod numeric
@attribute AVE_CODECHURN numeric
@attribute CODECHURN numeric
@attribute CountStmt numeric
@attribute CountDeclFunction numeric
@attribute CountDeclClass numeric
@attribute AvgCyclomaticModified numeric
@attribute CountLine numeric
@attribute SumCyclomaticStrict numeric
@attribute AvgCyclomatic numeric
@attribute REFACTORINGS numeric
@attribute CountSemicolon numeric
@attribute class {buggy,clean}

@data
1,22,42,4,146,0,66,32,3.5,8,13,0,6,11,11,115.393936,4,0,24,0,43,0,98,58,42,4,0,32,22,0,15,5.25,64,28,0,2,4,1,11,0,4,2,8,0.59,8,10,1.625,2,74,11,1,2,171,22,2,0,51,clean
1,10,25,2,93,0,3,30,0.666667,3,1,4,8,6,10,62,1,0,33,1,25,0,69,67,2,1,1,33,10,1,25,0.666667,2,2,0,3,1,1,10,85,1,1,6,0.97,5,9,0.333333,1,55,10,1,1,160,10,1,0,44,clean
2,40,71,9,69,4,284,72,3.6,15,54,2,8,3,6,57.007042,17,0,19,0,101,2,228,42,34,3,1,98,40,0,26,2.266667,81,54,1,1,17,6,38,83,17,7,35,0.18,29,5,3.6,203,143,6,1,6,294,47,6,1,100,clean
2,22,44,4,126,0,24,36,3.8,5,9,2,9,10,12,113,3,0,25,2,59,0,128,101,10,1,1,46,26,1,22,2,20,19,0,2,3,1,12,83,5,2,8,0.79,8,12,1.8,4,80,12,1,1,246,30,2,0,58,clean
1,4,5,1,22,0,0,18,0,1,0,2,2,1,3,0,2,0,16,1,5,1,30,0,0,1,0,20,4,0,12,0,0,0,0,2,2,1,3,0,3,1,6,0,5,3,0,0,23,3,1,1,42,5,1,0,18,clean
1,8,14,2,93,0,2,19,1,2,0,4,5,4,8,82,1,0,25,1,14,0,45,62,2,1,1,22,8,0,23,1,2,2,0,3,1,1,8,75,1,1,5,1.38,4,7,0,0,33,8,1,1,129,8,1,0,24,clean
12,236,182,7,170,0,220,157,1.681818,44,53,0,12,6,6,95.959091,21,0,84,0,204,0,426,34,123,5,0,141,238,0,59,2.795455,163,74,0,6,21,1,160,0,24,2,7.67,0.08,7.67,6,1.204546,57,339,44,10,2,518,262,2,0,251,clean
5,30,74,7,20,0,72,59,2.444444,9,12,6,9,5,14,26.625,6,0,53,8,85,0.26,168,46,51,2,4,56,33,0,22,5.666667,90,22,3,4,9,1,25,28.33,9,2,7.3,0.27,7.04,14,1.333333,-18,133,14,3,2,234,33,2,0,103,clean
4,164,489,7,24,1,2391,327,11.423077,52,537,0,3,2,2,34.389378,45,0,28,0,539,0,993,657,195,3,0,344,174,0,289,3.75,1079,594,0,2,45,1,64,0,48,4,9,0.66,8,2,10.326923,1312,816,40,3,4,1896,198,4,0,669,clean
1,7,7,2,126,0,4,16,1,3,2,3,4,4,7,97,1,0,20,0,7,0,34,56,1,1,0,19,7,0,12,0.333333,1,3,0,2,1,1,7,0,1,1,3,1.65,3,6,0.666667,3,23,7,1,1,98,7,1,0,15,clean
11,26,122,1,110,0,185,64,4.583334,12,54,6,15,18,25,86.270271,2,0,139,4,126,0.6,220,28,33,3,0,65,26,0,67,2.75,94,55,1,11,2,1,25,17.57,3,1,6.02,0.13,5.27,24,4.5,91,186,25,7,1,313,27,1,2,157,clean
2,4,5,1,93,0,0,12,0,1,0,2,2,2,4,0,1,0,17,0,5,0,23,33,0,1,0,13,4,0,13,0,0,0,0,2,1,1,4,0,1,1,3,1.43,3,4,0,0,17,4,1,1,68,4,1,0,12,clean
4,9,19,1,83,0,2,19,1,2,0,1,5,5,6,75,2,0,67,3,21,0,51,23,2,2,0,19,9,0,10,1,2,2,0,5,2,1,6,25,3,1,5.45,0.45,5.45,6,0,0,38,6,2,1,84,10,1,0,27,clean
2,9,8,0,100,0,27,13,3.25,4,13,0,2,8,8,92.555557,2,0,21,1,8,0,31,13,14,1,0,13,9,0,10,3.5,16,13,0,1,2,1,8,75,2,1,3,0.42,3,8,3.25,11,21,8,1,1,52,9,1,0,11,clean
1,46,107,5,100,3,145,40,4.818182,11,11,0,14,2,6,89.972412,29,0,19,0,118,2,181,53,46,1,8,40,49,0,21,4.181818,113,53,4,1,29,2,17,77,33,10,30,0.29,27,0,1,32,147,6,1,7,238,60,8,0,103,clean
1,4,5,1,91,0,20,10,2,4,7,0,2,3,3,55.099998,2,0,16,1,5,0,18,15,7,2,0,9,4,0,7,1.75,12,8,0,2,2,1,3,33,2,1,4,0.83,4,3,1.75,8,15,3,1,1,40,4,1,0,11,clean
1,15,39,1,146,2,49,37,7.25,4,2,3,4,7,11,73.204079,3,0,24,0,45,0,95,58,48,2,4,37,15,0,17,12,65,29,1,2,3,1,11,81,3,1,7,0.61,7,11,0.5,-16,76,11,1,1,145,15,1,1,60,clean
1,13,26,0,146,0,26,38,8,3,0,2,3,8,12,87.53846,2,0,25,0,26,0,77,42,32,2,2,38,13,0,22,10.666667,34,24,2,2,2,1,12,87,2,1,5,0.55,4,12,0,-8,64,12,1,1,131,13,1,1,50,clean
1,21,51,0,146,2,31,51,9.666667,3,2,3,4,9,14,87.451614,5,0,27,0,51,0,120,59,27,2,0,50,21,0,20,9,29,29,2,2,5,1,18,0,6,1,7,0.49,7,14,0.666667,2,102,14,1,1,167,22,1,1,81,clean
1,18,50,0,146,2,41,53,13,3,0,4,4,9,14,87.341461,2,0,27,1,50,0,120,98,68,2,5,53,18,0,29,22.666666,70,39,1,2,2,1,14,89,2,1,8,0.82,6,14,0,-29,103,14,1,1,224,18,1,1,84,clean
2,12,18,0,94,0,39,17,2.714286,7,8,0,1,8,8,89.974358,5,0,21,3,18,0,44,52,11,2,0,17,12,0,13,1.571429,22,19,0,1,5,1,12,54,6,1,4,1.18,4,8,1.142857,17,35,8,1,1,109,13,1,0,22,clean
1,16,38,0,146,1,46,46,8.5,4,10,3,3,9,13,93.608696,2,0,26,1,38,0,99,81,64,3,6,46,16,0,23,16,66,34,1,2,2,1,13,90,2,1,7,0.82,5,13,2.5,-20,84,13,1,1,185,16,1,1,67,clean
1,19,43,1,146,1,26,45,4.6,5,0,3,3,8,13,90.230766,3,0,26,0,49,0,111,52,38,3,3,44,19,0,17,7.6,42,23,2,2,3,1,15,84,4,1,7,0.47,6,13,0,-16,88,13,1,1,158,21,1,1,69,clean
1,31,76,2,146,3,117,53,7.375,8,23,4,6,11,17,91.52137,6,0,30,2,80,0,156,81,58,5,0,52,31,0,32,7.25,102,59,2,2,6,1,21,82,6,1,9,0.52,8,17,2.875,15,129,17,1,1,221,32,1,1,98,clean
10,36,49,4,84,0.27,62,69,4.285714,7,15,2,6,16,26,48.564518,3,0,91,6,47,0,147,89,15,1,12,69,36,0,37,2.142857,34,30,8,5,3,1,28,17.6,3,1,3.76,0.61,3.01,26,2.142857,28,118,26,5,1,261,36,1,0,77,clean
1,24,82,1,146,3,34,65,2.142857,7,15,4,5,10,15,105.411766,6,0,28,1,91,1,174,111,24,4,7,65,24,0,47,3.428572,28,15,1,2,6,1,15,85,6,1,11,0.64,9,15,2.142857,6,147,15,1,1,274,24,1,2,122,clean
6,17,33,3,82,0.84,28,35,8.666667,3,21,0,8,9,11,66.35714,3,0,50,4,34,0.42,83,66,5,1,2,34,17,0,28,1.666667,7,26,2,4,3,1,13,23.33,3,1,8.4,0.8,6.72,10,7,21,68,11,3,1,175,17,1,0,50,clean
2,19,46,1,93,0,106,28,35.333332,3,71,2,7,9,11,21,2,0,39,3,57,0,110,113,35,2,1,35,27,0,23,11.666667,37,106,0,4,4,1,11,77,6,2,8,1.03,7,11,23.666666,69,74,11,1,1,245,29,2,0,54,clean
3,54,110,14,132,2,351,80,3.035714,28,53,3,10,18,22,110.549858,9,0,35,11,106,1,231,175,40,3,1,82,54,0,53,1.428572,140,85,1,2,9,1,22,83,17,3,11,0.76,8,22,1.892857,211,190,22,1,2,457,71,2,1,135,clean
1,11,15,2,93,0,35,27,17.5,2,33,4,5,7,11,82,1,0,24,1,15,0,56,95,2,1,1,29,11,0,25,1,2,35,0,2,1,1,11,86,1,1,4,1.7,3,10,16.5,33,42,11,1,1,174,11,1,0,30,clean
1,5,4,2,176,0,21,16,1.666667,6,10,1,3,3,4,108.85714,2,0,17,0,5,0,27,11,7,5,0,16,5,0,7,1.166667,11,10,0,2,2,1,4,0,2,1,4,0.41,4,4,1.666667,10,20,4,1,1,45,5,1,0,14,clean
8,237,228,13,170,0,927,174,8.178572,56,82,0,8,4,4,113.024811,21,0,56,0,257,0,516,99,494,7,0,160,247,0,56,8.821428,678,458,0,4,22,1,151,0,22,2,8,0.19,8,4,1.464286,249,402,43,9,2,662,255,2,1,294,clean
2,5,10,1,93,0,2,15,1,2,2,2,3,3,5,90,1,0,53,0,11,1,35,42,0,1,1,18,5,1,20,0,0,2,0,3,1,1,5,80,1,1,6,1.2,4,5,1,2,25,5,1,1,96,5,1,0,19,clean
8,72,181,1,90,0,55,75,5.666667,6,10,5,11,11,23,57.527271,23,0,88,3,191,0.3,329,19,34,2,0,66,72,0,51,5.666667,35,34,7,6,23,1,27,14.8,23,3,12.63,0.06,12.03,19,1.666667,20,256,23,5,3,399,74,3,0,185,clean
13,27,57,4,2,0,119,59,2.416667,12,26,1,12,24,25,58.067226,3,0,126,5,79,0,163,28,28,3,0,56,27,0,44,2.333333,52,29,0,9,3,1,25,6,3,1,4.89,0.17,4.56,24,2.166667,67,116,25,7,1,234,27,1,1,88,clean
2,9,17,0,20,0,0,24,0,1,0,1,10,6,7,0,3,0,20,4,19,0,52,10,0,1,0,24,9,0,12,0,0,0,0,2,3,1,7,78,3,1,5,0.19,5,7,0,0,41,7,1,1,73,9,1,0,32,clean
3,23,65,11,207,0,165,56,1.333333,33,34,0,13,13,13,71.315155,4,0,39,7,70,0,147,75,35,4,3,56,23,0,28,1.060606,111,44,0,4,4,1,13,35,5,2,9.08,0.51,7.85,13,1.030303,54,121,13,2,1,248,26,1,0,96,clean
3,10,23,0,20,0,0,32,0,1,0,1,8,2,5,0,5,0,31,3,26,0.55,66,14,0,1,0,31,10,0,13,0,0,0,2,3,5,1,7,25,6,2,15.26,0.21,14.16,5,0,0,55,5,2,2,93,11,2,0,44,clean
19,179,415,22,47,1.59,942,242,4.041096,73,289,0,25,15,16,74.587051,10,0,211,1,448,0.47,807,87,166,6,0,218,181,0,115,2.273973,510,295,1,16,10,1,84,0,13,3,13.14,0.11,11.72,16,3.958904,432,657,58,12,3,987,205,3,0,491,clean
1,9,12,1,81,0,38,18,12.333333,3,1,0,5,9,9,50.026318,1,0,32,1,12,0,40,23,36,2,0,18,9,1,14,12,37,37,0,3,1,1,9,66,1,1,3,0.57,3,9,0.333333,1,30,9,1,1,77,9,1,0,20,clean
1,13,25,1,100,0,29,26,9,3,27,7,6,2,10,77,3,0,23,4,27,0,67,45,1,2,0,26,13,2,23,0.333333,1,27,1,2,3,1,10,70,3,1,6,0.67,5,10,9,28,51,10,1,1,135,13,1,0,38,clean
3,178,369,36,50,1,4905,212,2.728395,162,442,2,31,11,40,50.990826,32,0,79,15,403,0,730,86,463,6,2,183,178,0,73,2.858025,3257,442,27,4,32,1,70,49.33,32,4,14.25,0.12,13.06,40,2.728395,1648,581,40,3,4,863,183,4,1,428,clean
24,38,67,1,110,0.37,276,79,6.5,10,65,6,27,31,37,87.91304,2,0,227,3,89,0,201,23,28,3,0,70,38,1,45,2.8,96,65,0,19,2,1,37,7.36,2,1,4.11,0.11,3.55,36,6.5,180,146,37,14,1,268,38,1,2,105,clean
12,145,251,0,20,0.38,0,186,0,1,0,7,29,27,50,0,8,1,128,4,277,0,561,81,0,1,3,157,146,0,60,0,0,0,15,8,8,1,91,14.33,9,3,10.98,0.14,10.6,46,0,0,437,50,6,2,700,164,2,0,310,clean
1,6,7,2,93,0,2,13,1,2,0,3,5,2,6,82,1,0,19,0,7,0,30,47,2,1,0,16,6,0,11,1,2,2,1,2,1,1,6,0,1,1,3,1.57,3,4,0,0,20,6,1,1,87,6,1,0,13,clean
4,854,863,53,24,0.34,1950,556,1.042553,517,93,1,2,1,2,109.087181,36,0,41,4,1063,0,2076,791,809,5,0,616,884,0,303,1.564797,1880,539,0,3,50,2,589,0,51,3,2.05,0.38,1.71,2,0.179884,70,1419,145,6,3,3048,981,3,0,983,clean
2,21,40,0,100,0,15,41,4.666667,3,13,0,14,5,8,76.533333,8,1,34,4,46,1.18,107,57,1,3,0,40,21,0,31,0.333333,2,14,2,2,8,1,13,21,8,2,10.71,0.53,9.53,7,4.333334,13,81,8,2,2,194,22,2,0,62,clean
26,1548,1682,87,67,1.03,4256,1072,0.961397,544,492,1,34,21,22,130.788773,46,0,191,0,1918,0.07,3594,1006,349,6,0,1025,1581,0,504,0.641544,2215,523,0,13,48,1,754,0,55,3,9.33,0.28,8.44,22,0.904412,2041,2754,241,28,3,4810,1683,3,0,1966,clean
1,8,23,2,93,0,3,29,1.5,2,0,4,8,4,8,82,1,0,41,2,23,1,63,68,3,1,0,31,8,0,27,1.5,3,3,0,4,1,1,8,81,1,1,7,1.08,5,7,0,0,52,8,1,1,157,8,1,0,43,clean
1,13,44,0,146,3,36,47,10.666667,3,2,3,3,7,11,87.777779,2,0,24,0,54,0,113,65,61,2,5,47,13,0,20,20.333334,63,32,1,2,2,1,11,81,2,1,8,0.58,8,11,0.666667,-27,91,11,1,1,162,13,1,1,77,clean
1,17,20,0,20,0,0,34,0,1,0,10,3,4,14,0,2,0,92,0,22,0,73,17,0,1,0,34,17,0,18,0,0,0,0,3,2,1,14,0,2,1,4,0.23,4,14,0,0,54,14,1,1,108,17,1,0,36,clean
9,45,73,1,80,0,79,86,23.333334,3,64,10,32,16,27,75.746834,7,0,174,5,73,0,202,23,6,1,2,82,45,0,53,2,6,70,1,13,7,1,37,12.71,9,1,5.1,0.11,4.86,27,21.333334,73,159,27,7,1,271,51,1,0,111,clean
8,18,29,4,6,0,4,28,0.2,5,0,6,12,6,14,8.75,3,0,79,2,38,0,76,11,1,2,1,22,18,0,13,0.2,4,1,2,7,3,1,18,14.6,3,1,5.68,0.14,5.68,14,0,0,57,14,5,1,98,18,1,0,37,clean
2,17,32,2,93,0,25,24,4.25,4,17,2,4,9,11,63.52,2,0,24,1,35,0,83,95,2,1,1,32,17,0,25,0.5,4,17,0,2,2,1,11,68,3,1,6,1.14,5,11,4.25,21,56,11,1,1,200,19,1,0,38,clean
4,14,60,1,124,0,120,58,15.333333,6,63,1,11,11,13,71.691666,2,1,65,4,61,0.58,141,21,53,3,0,63,14,0,33,8.833333,101,92,0,8,2,1,13,16.5,2,1,7.12,0.15,6.31,12,10.5,19,118,13,4,1,195,14,1,2,101,clean
2,19,34,1,93,0,0,29,0,1,0,2,7,10,12,0,2,0,65,1,39,0,92,94,0,1,2,35,19,0,30,0,0,0,0,4,2,1,12,80,4,1,6,1.02,5,12,0,0,63,12,1,1,215,21,1,0,43,clean
