@relation 'data/final_8020_mylyn.csv-weka.filters.unsupervised.attribute.Remove-R40-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R99-weka.filters.unsupervised.attribute.Remove-R6-15,18,20-24,27-29,37-40,42-43,46-48,68-69,71-76,84-91,93-94,100,102-104,106-107,109-111,113-weka.filters.unsupervised.attribute.Remove-R4-5,7,9-11,16,25-26,32-34,47-48,56'

@attribute CntClassBase numeric
@attribute SumCyclomaticModified numeric
@attribute CountStmtExe numeric
@attribute AvgLineComment numeric
@attribute CountStmtDecl numeric
@attribute CntDeclMethodProtected numeric
@attribute CntClassCoupled numeric
@attribute CntDeclMethodPublic numeric
@attribute CntDeclMethod numeric
@attribute MaxCyclomaticModified numeric
@attribute CntDeclMethodDefault numeric
@attribute CntDeclMethodAll numeric
@attribute CntDeclInstanceVariable numeric
@attribute CountLineCodeExe numeric
@attribute AvgLineBlank numeric
@attribute CountLineCode numeric
@attribute CountLineComment numeric
@attribute CntDeclClassVariable numeric
@attribute CountLineCodeDecl numeric
@attribute SumCyclomatic numeric
@attribute CntClassDerived numeric
@attribute CountLineBlank numeric
@attribute CntDeclMethodPrivate numeric
@attribute MxInheritanceTree numeric
@attribute MaxCyclomatic numeric
@attribute AvgEssential numeric
@attribute SumEssential numeric
@attribute PcntLackOfCohesion numeric
@attribute MaxCyclomaticStrict numeric
@attribute AvgCyclomaticStrict numeric
@attribute AvgLine numeric
@attribute RatioCommentToCode numeric
@attribute AvgLineCode numeric
@attribute CntDeclInstanceMethod numeric
@attribute CountStmt numeric
@attribute CountDeclFunction numeric
@attribute CountDeclClass numeric
@attribute AvgCyclomaticModified numeric
@attribute CountLine numeric
@attribute SumCyclomaticStrict numeric
@attribute AvgCyclomatic numeric
@attribute CountSemicolon numeric
@attribute class {buggy,clean}

@data
1,10,20,1,22,0,6,3,3,8,0,72,1,24,1,58,16,0,24,10,0,13,0,2,8,1,3,33,10,4,16,0.28,14,3,42,3,1,3,87,12,3,31,buggy
1,6,117,12,51,2,22,3,6,1,0,19,9,118,5,179,97,0,54,6,0,52,1,2,1,1,6,55,1,1,41,0.54,23,6,168,6,1,1,328,6,1,161,clean
1,13,15,1,22,1,7,2,3,11,0,16,1,18,1,54,16,0,23,13,0,11,0,2,11,2,7,66,14,5,14,0.3,12,3,37,3,1,4,81,16,4,21,clean
3,4,8,0,13,0,5,2,2,3,0,28,0,11,2.5,28,15,0,12,4,0,9,0,2,3,1,2,0,3,2,13.5,0.54,11,1,21,2,2,2,52,4,2,16,clean
7,20,48,0,52,3,18,6,9,7,0,126,1,62,0.78,134,16,2,51,20,0,21,0,6,7,1,11,18,8,2,15.44,0.12,14.67,9,100,9,4,2,169,21,2,78,clean
1,2,2,0,5,0,0,2,2,1,0,27,1,2,0,10,24,0,5,2,0,3,0,2,1,1,2,0,1,1,3,2.4,3,2,7,2,1,1,37,2,1,4,clean
2,3,3,0,12,1,6,2,3,1,0,44,0,3,0,21,15,0,13,3,0,7,0,6,1,1,3,0,1,1,3,0.71,3,3,15,3,2,1,43,3,1,10,buggy
4,70,122,0,71,0,27,7,10,18,0,36,4,139,0,259,16,0,71,70,1,28,3,3,18,5,54,42.5,21,8,14.06,0.06,13.42,10,193,10,2,7,302,82,7,118,buggy
12,41,79,0,105,0,24,14,14,4,0,92,2,97,0,245,27,0,106,41,0,50,0,6,4,1,26,8.33,4,1,7.52,0.11,7.52,14,184,24,7,1,322,46,1,139,clean
1,6,8,0,18,0,12,2,2,5,0,33,1,9,0,35,16,1,19,6,0,9,0,2,5,1,2,50,9,5,11,0.46,11,2,26,2,1,3,59,10,3,20,clean
1,7,7,0,12,0,5,7,7,1,0,20,0,7,0,27,21,1,12,7,0,13,0,1,1,1,7,100,1,1,3,0.78,3,0,19,7,1,1,60,7,1,11,clean
1,43,68,0,61,0,11,13,13,8,0,42,0,79,0,191,26,1,72,43,0,24,0,2,8,3,39,84,8,3,12,0.14,11,13,129,13,1,3,236,43,3,83,clean
1,70,113,1,98,0,14,14,17,15,0,46,0,148,0,325,51,1,112,82,0,28,3,2,16,3,54,94,16,5,17,0.16,16,17,211,17,1,4,395,97,4,138,clean
