@relation 'data/final_8020_team.csv-weka.filters.unsupervised.attribute.Remove-R40-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R99-weka.filters.unsupervised.attribute.Remove-R6-15,18,20-24,27-29,37-40,42-43,46-48,68-69,71-76,84-91,93-94,100,102-104,106-107,109-111,113-weka.filters.unsupervised.attribute.Remove-R4-5,7,9-11,16,25-26,32-34,47-48,56'

@attribute CntClassBase numeric
@attribute SumCyclomaticModified numeric
@attribute CountStmtExe numeric
@attribute AvgLineComment numeric
@attribute CountStmtDecl numeric
@attribute CntDeclMethodProtected numeric
@attribute CntClassCoupled numeric
@attribute CntDeclMethodPublic numeric
@attribute CntDeclMethod numeric
@attribute MaxCyclomaticModified numeric
@attribute CntDeclMethodDefault numeric
@attribute CntDeclMethodAll numeric
@attribute CntDeclInstanceVariable numeric
@attribute CountLineCodeExe numeric
@attribute AvgLineBlank numeric
@attribute CountLineCode numeric
@attribute CountLineComment numeric
@attribute CntDeclClassVariable numeric
@attribute CountLineCodeDecl numeric
@attribute SumCyclomatic numeric
@attribute CntClassDerived numeric
@attribute CountLineBlank numeric
@attribute CntDeclMethodPrivate numeric
@attribute MxInheritanceTree numeric
@attribute MaxCyclomatic numeric
@attribute AvgEssential numeric
@attribute SumEssential numeric
@attribute PcntLackOfCohesion numeric
@attribute MaxCyclomaticStrict numeric
@attribute AvgCyclomaticStrict numeric
@attribute AvgLine numeric
@attribute RatioCommentToCode numeric
@attribute AvgLineCode numeric
@attribute CntDeclInstanceMethod numeric
@attribute CountStmt numeric
@attribute CountDeclFunction numeric
@attribute CountDeclClass numeric
@attribute AvgCyclomaticModified numeric
@attribute CountLine numeric
@attribute SumCyclomaticStrict numeric
@attribute AvgCyclomatic numeric
@attribute CountSemicolon numeric
@attribute class {buggy,clean}

@data
1,12,36,0,31,0,9,7,7,4,0,20,8,37,0,80,53,0,31,12,0,18,0,1,4,1,7,66,4,1,9,0.66,8,7,67,7,1,1,150,12,1,54,buggy
6,29,62,2.13,79,0,21,4,6,14,0,45,0,74,0.38,180,37,0,80,32,0,12,2,3,17,3,19,0,17,6,20.78,0.21,19.27,6,141,6,3,4,220,36,5,117,clean
3,92,139,0,182,1,31,69,75,5,0,101,27,147,0,425,231,29,181,92,0,107,5,3,5,1,75,49,5,1,3.85,0.54,3.7,68,321,75,2,1,737,92,1,226,buggy
1,46,87,0,55,2,7,12,20,6,0,33,4,86,0,173,106,0,52,46,0,25,6,2,6,1,34,78,7,2,8,0.61,7,19,142,20,1,2,304,54,2,94,buggy
4,48,73,0,51,2,8,23,28,7,1,54,6,87,0,171,147,0,47,48,0,28,2,3,7,1,32,42,7,1,5.33,0.86,5.33,28,124,28,2,1,346,55,1,74,buggy
4,20,24,0,43,0,2,2,2,6,0,28,0,29,0,88,38,0,38,20,0,15,0,2,6,1,14,0,6,1,3,0.43,3,2,67,12,3,1,141,20,1,49,buggy
1,3,4,0,9,1,2,1,2,2,0,34,0,4,0,16,10,0,9,3,0,4,0,2,2,1,2,0,2,1,4,0.63,4,2,13,2,1,1,30,3,1,9,buggy
26,98,218,0,161,7,46,20,43,11,1,199,3,269,0.07,502,26,0,143,104,0,55,15,13,11,1,67,6.92,16,2,8.24,0.05,7.67,43,379,44,13,2,582,118,2,285,buggy
14,45,92,0,76,8,33,14,26,3,0,224,4,104,0,225,62,1,77,45,0,32,4,9,3,1,30,10.43,4,1,8.13,0.28,7.5,25,168,26,7,1,310,51,1,122,buggy
2,5,11,0,27,1,8,4,5,1,0,53,0,11,0,45,12,0,27,5,0,8,0,5,1,1,5,0,1,1,5.4,0.27,5.4,5,38,5,2,1,63,5,1,31,clean
2,31,36,0,40,0,3,2,2,4,0,15,0,39,0,105,83,0,41,31,0,25,0,1,4,1,27,0,4,1,3,0.79,2,2,76,22,2,1,212,31,1,49,clean
14,47,95,0.93,69,0,25,13,17,8,0,108,0,109,0.22,243,106,1,88,50,0,25,4,7,8,1,20,11.57,9,3,9.35,0.44,8.46,17,164,17,7,2,362,55,2,119,buggy
7,32,81,0,64,1,9,12,22,4,1,117,10,90,0,182,78,1,61,32,0,37,8,7,4,1,22,21.5,4,1,6.85,0.43,5.56,22,145,22,4,1,292,33,1,112,clean
52,229,596,0.63,364,15,131,65,103,11,2,637,47,701,0.62,1245,342,16,347,239,0,249,21,40,13,1,144,15.4,16,2,11.93,0.27,10.39,101,960,103,30,2,1812,255,2,732,buggy
5,43,82,0,71,1,18,8,20,7,0,59,8,95,0,202,75,0,68,43,0,28,11,4,7,1,31,24.33,7,2,7.58,0.37,7.07,19,153,20,3,2,302,48,2,111,clean
9,26,42,0.59,41,5,17,7,13,4,0,107,2,54,0,112,23,0,35,26,0,15,1,8,4,1,18,12.8,6,2,10.73,0.21,9.99,13,83,13,5,2,150,32,2,55,buggy
7,42,66,0,67,0,14,13,19,8,0,58,2,76,0,185,84,1,62,42,0,23,6,3,8,1,23,30,8,1,6.1,0.45,5.59,18,133,23,4,1,292,42,1,89,buggy
1,40,64,0,82,1,13,23,28,6,0,41,2,178,0,316,73,0,99,40,0,51,4,2,6,1,28,89,6,1,11,0.23,10,26,146,28,1,1,438,40,1,112,buggy
7,65,118,0,86,8,22,19,32,8,1,84,7,123,0,273,98,2,84,65,0,43,4,5,8,1,34,38,10,2,6.5,0.36,6.29,32,204,32,4,2,412,71,2,140,buggy
10,285,668,0.72,287,5,31,48,84,22,5,149,4,746,0,1282,600,4,258,285,0,107,26,5,22,1,135,18.4,25,3,13.62,0.47,12.28,82,955,84,5,3,1950,320,3,658,clean
4,18,29,0.11,39,8,18,4,12,4,0,128,1,32,0.11,87,46,0,37,18,0,17,0,8,4,1,15,20,4,1,6.22,0.53,6,12,68,12,3,1,149,18,1,49,clean
8,48,91,0.25,92,3,32,9,17,8,0,114,4,106,0,229,18,0,78,48,0,27,5,7,8,1,27,17.75,9,3,13.68,0.08,12.81,17,183,17,4,2,273,53,2,145,buggy
1,26,35,0,58,0,6,14,14,7,0,27,2,36,0,119,33,21,57,26,0,20,0,2,7,1,18,98,7,1,6,0.28,6,13,93,14,1,1,171,26,1,67,clean
