@relation 'data/final_8020_mylyn.csv-weka.filters.unsupervised.attribute.Remove-R40-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R99-weka.filters.unsupervised.attribute.Remove-R6-15,18,20-24,27-29,37-40,42-43,46-48,68-69,71-76,84-91,93-94,100,102-104,106-107,109-111,113'

@attribute CntClassBase numeric
@attribute SumCyclomaticModified numeric
@attribute CountStmtExe numeric
@attribute BUGFIXES numeric
@attribute AGE numeric
@attribute AvgLineComment numeric
@attribute LOC_ADDED numeric
@attribute CountStmtDecl numeric
@attribute AVE_LOC_ADDED numeric
@attribute REVISONS numeric
@attribute MAX_CODECHURN numeric
@attribute CntDeclMethodProtected numeric
@attribute CntClassCoupled numeric
@attribute CntDeclMethodPublic numeric
@attribute CntDeclMethod numeric
@attribute WEIGHTD_AGE numeric
@attribute MaxCyclomaticModified numeric
@attribute CntDeclMethodDefault numeric
@attribute CntDeclMethodAll numeric
@attribute CntDeclInstanceVariable numeric
@attribute CountLineCodeExe numeric
@attribute AvgLineBlank numeric
@attribute CountLineCode numeric
@attribute CountLineComment numeric
@attribute MAX_LOC_DELETED numeric
@attribute AUTHORS numeric
@attribute CntDeclClassVariable numeric
@attribute CountLineCodeDecl numeric
@attribute SumCyclomatic numeric
@attribute CntClassDerived numeric
@attribute CountLineBlank numeric
@attribute AVG_LOC_DELETED numeric
@attribute LOC_DELETED numeric
@attribute MAX_LOC_ADDED numeric
@attribute CntDeclMethodPrivate numeric
@attribute MxInheritanceTree numeric
@attribute MaxCyclomatic numeric
@attribute AvgEssential numeric
@attribute SumEssential numeric
@attribute PcntLackOfCohesion numeric
@attribute MaxCyclomaticStrict numeric
@attribute AvgCyclomaticStrict numeric
@attribute AvgLine numeric
@attribute RatioCommentToCode numeric
@attribute AvgLineCode numeric
@attribute CntDeclInstanceMethod numeric
@attribute AVE_CODECHURN numeric
@attribute CODECHURN numeric
@attribute CountStmt numeric
@attribute CountDeclFunction numeric
@attribute CountDeclClass numeric
@attribute AvgCyclomaticModified numeric
@attribute CountLine numeric
@attribute SumCyclomaticStrict numeric
@attribute AvgCyclomatic numeric
@attribute REFACTORINGS numeric
@attribute CountSemicolon numeric
@attribute class {buggy,clean}

@data
1,41,108,0,140,2,0,84,0,1,0,2,23,13,16,0,12,0,141,8,117,1,241,155,0,1,0,82,41,0,61,0,0,0,1,4,12,1,19,85,12,2,16,0.64,12,16,0,0,192,16,1,2,452,46,2,0,152,clean
11,20,57,0,1,0,0,70,0,1,0,0,36,8,11,0,7,0,111,6,76,0.86,163,16,0,1,0,67,20,0,31,0,0,0,3,8,7,1,11,12,8,1,9.77,0.1,8.91,11,0,0,127,11,6,1,208,21,1,0,105,clean
2,101,180,0,140,0,1,132,0.5,2,0,1,11,64,67,140,7,0,87,22,180,0,408,176,1,1,0,128,101,1,86,0.5,1,1,2,3,7,1,67,93,7,1,5,0.43,5,67,0,0,312,67,1,1,668,104,1,0,214,clean
1,3,3,4,57,0,0,8,0,4,0,3,3,0,3,0,1,0,23,0,3,0,18,13,0,2,1,11,3,0,7,0,0,0,0,2,1,1,3,66,1,1,3,0.72,3,3,0,0,11,3,1,1,38,3,1,0,7,clean
6,26,49,3,24,0,0,35,0,9,0,2,10,8,12,0,5,0,64,6,53,0.95,114,16,0,2,3,34,26,0,37,0,0,0,2,5,5,1,15,28.25,6,2,9.25,0.14,8.3,8,0,0,84,13,5,2,165,29,2,0,55,clean
1,8,14,2,55,0,0,20,0,3,0,0,6,1,2,0,5,0,15,0,15,2,43,18,0,2,0,19,8,0,10,0,0,0,1,2,5,4,8,0,5,4,17,0.42,15,2,0,0,34,2,1,4,71,8,4,0,24,clean
1,25,34,16,144,0,0,51,0,48,0,0,14,7,7,0,7,0,27,0,41,0,124,18,0,2,0,57,25,0,12,0,0,0,0,2,7,1,11,0,8,3,12,0.15,12,7,0,0,85,7,1,3,152,27,3,3,58,clean
1,5,33,3,56,0,53,24,3.857143,7,27,0,6,5,5,38.018867,1,0,18,1,33,3,64,15,14,2,0,25,5,0,24,2,17,27,0,2,1,1,5,0,1,1,14,0.23,11,5,3.857143,36,57,5,1,1,103,5,1,0,51,clean
2,20,34,3,24,0,0,28,0,11,0,0,7,10,11,0,2,0,24,6,48,0,100,36,0,4,2,32,28,0,28,0,0,0,1,1,6,1,16,85,6,1,3,0.36,3,11,0,0,62,14,2,1,157,28,1,0,43,clean
1,7,50,1,42,0,60,26,10.6,5,49,2,11,5,7,31.383333,1,0,27,0,51,1,91,10,4,1,0,31,7,0,23,0.8,5,53,0,3,1,1,7,0,1,1,13,0.11,11,7,9.8,55,76,7,1,1,124,7,1,0,67,clean
1,6,21,2,49,0,0,24,0,4,0,2,14,2,4,0,2,0,17,1,23,1,56,16,0,2,0,26,6,0,18,0,0,0,0,2,2,1,4,25,2,1,11,0.29,9,4,0,0,45,4,1,1,90,6,1,0,38,clean
1,6,72,2,20,0,0,52,0,4,0,2,30,3,5,0,2,0,18,10,75,2,135,13,0,2,0,53,6,0,32,0,0,0,0,2,2,1,5,48,2,1,21,0.1,19,5,0,0,124,5,1,1,180,6,1,0,116,clean
14,46,63,15,57,0,0,77,0,34,0,1,30,23,29,0,6,0,120,6,95,0,204,24,0,3,2,62,46,0,37,0,0,0,5,7,6,1,31,12.29,9,1,5.45,0.12,5.45,29,0,0,140,29,7,1,262,49,1,1,87,clean
1,1,1,5,64,0,0,4,0,11,0,0,0,1,1,0,1,0,105,0,1,0,7,13,0,2,0,4,1,0,4,0,0,0,0,4,1,1,1,0,1,1,3,1.86,3,1,0,0,5,1,1,1,24,1,1,0,3,clean
16,74,221,6,47,0.28,0,127,0,14,0,1,18,8,11,0,8,0,115,0,246,1.51,443,58,0,3,0,123,74,0,116,0,0,0,2,8,8,1,40,0,12,2,12.88,0.13,11.09,11,0,0,348,36,9,2,615,83,2,0,271,clean
4,87,207,0,140,0,0,122,0,1,0,6,5,22,35,0,19,1,67,9,207,0,394,137,0,1,1,122,90,0,81,0,0,0,6,4,19,1,40,45,24,2,9.43,0.35,8.75,35,0,0,329,35,2,2,609,96,2,0,241,clean
2,26,38,10,128,0,0,40,0,15,0,0,9,12,12,0,4,0,25,2,38,0,97,21,0,2,0,32,26,0,18,0,0,0,0,1,4,1,12,50,4,2,7,0.22,7,12,0,0,78,12,1,2,134,26,2,2,42,clean
