@relation 'data/final_8020_team.csv-weka.filters.unsupervised.attribute.Remove-R40-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R99-weka.filters.unsupervised.attribute.Remove-R1-3,6-16,18-24,27-29,31-34,36-52,55-59,63-82,84-91,93-107,109-113'

@attribute BUGFIXES numeric
@attribute AGE numeric
@attribute LOC_ADDED numeric
@attribute AVE_LOC_ADDED numeric
@attribute REVISONS numeric
@attribute MAX_CODECHURN numeric
@attribute WEIGHTD_AGE numeric
@attribute MAX_LOC_DELETED numeric
@attribute AUTHORS numeric
@attribute AVG_LOC_DELETED numeric
@attribute LOC_DELETED numeric
@attribute MAX_LOC_ADDED numeric
@attribute AVE_CODECHURN numeric
@attribute CODECHURN numeric
@attribute REFACTORINGS numeric
@attribute class {buggy,clean}

@data
20,98,752,0.871429,140,120,140.50798,61,3,0.435714,231,122,0.857143,521,1,buggy
13,164,1349,16.545454,33,307,159.885101,440,3,13.333333,821,546,9.30303,528,0,clean
6,22,48,0.080537,149,6,92.75,19,2,0.127517,46,12,0.040268,2,0,buggy
0,212,0,0,17,0,0,0,0,0,0,0,0,0,0,clean
3,98,23,0.888889,9,5,153.260864,4,2,0.444444,14,8,0.555556,9,0,buggy
3,212,81,1.2,50,3,167.296295,85,1,1.7,103,60,0.06,-22,0,buggy
2,212,298,7.352941,17,70,77.01342,157,2,9.235294,217,125,4.117647,81,0,clean
3,212,128,4.380952,21,85,86.054688,23,4,1.095238,43,92,4.047619,85,1,clean
2,212,13,0.219512,41,8,187.461533,5,1,0.121951,8,9,0.195122,5,0,clean
8,51,194,2.5,38,87,122.386597,11,1,0.289474,48,95,2.289474,146,0,buggy
3,246,30,0.517241,29,6,155,9,2,0.310345,17,15,0.206897,13,0,buggy
3,236,17,0.411765,17,2,188.352936,5,1,0.294118,15,7,0.117647,2,1,clean
45,15,462,0.412371,97,40,157.549789,9,4,0.092784,50,40,0.412371,412,0,buggy
2,212,16,0.166667,48,5,170.875,3,2,0.0625,6,8,0.104167,10,0,clean
7,287,169,1.777778,45,30,139.201187,54,3,1.2,100,80,0.666667,69,0,clean
1,236,20,0.526316,19,10,128.149994,6,3,0.315789,9,10,0.526316,11,0,clean
1,212,11,0.290323,31,4,179.636368,5,1,0.16129,7,9,0.129032,4,0,clean
10,56,76,0.094972,179,14,134.802628,4,3,0.022346,18,17,0.078212,58,0,buggy
2,165,13,1.6,5,1,96.92308,14,3,2.8,32,8,0.2,-19,0,clean
4,212,156,1.106383,94,41,166.35257,106,2,1.12766,203,104,0.43617,-47,0,clean
6,189,67,5.125,8,32,147.164185,10,2,1.25,26,41,4,41,0,clean
70,157,2982,3.176471,119,306,162.035217,139,5,1.168067,1288,378,2.571429,1694,0,clean
19,190,607,3.363636,33,58,146.48764,53,4,1.606061,263,111,1.757576,344,0,clean
8,180,146,0.315789,133,42,157.568497,10,3,0.075188,21,42,0.315789,125,0,clean
7,188,264,3.8,20,32,187.712128,64,1,3.2,201,76,1.6,63,2,buggy
3,98,29,0.5,20,8,115.448273,11,2,0.55,21,10,0.4,8,0,clean
8,212,487,2.441176,68,158,127.603699,158,4,2.32353,238,166,2.32353,249,0,buggy
6,180,117,0.306931,101,30,144.170944,15,2,0.148515,68,31,0.29703,49,0,clean
4,215,48,0.861111,36,23,110.833336,8,3,0.222222,21,31,0.638889,27,0,clean
7,188,400,8.444445,18,152,187.020004,31,1,1.722222,71,152,8.444445,329,2,buggy
0,212,3,0.133333,15,0,176,2,1,0.133333,3,2,0,0,0,clean
1,236,23,0.611111,18,11,123.391304,8,3,0.444444,11,11,0.611111,12,0,clean
2,197,62,0.47619,63,4,56.532257,28,3,0.444444,59,30,0.063492,3,0,buggy
5,212,67,0.432836,67,24,148.970154,6,3,0.089552,26,29,0.358209,41,0,clean
3,192,23,3.8,5,0,185.260864,115,1,23,120,19,0,-97,0,clean
0,205,0,0,2,0,0,0,0,0,0,0,0,0,0,clean
1,92,39,13,3,24,81,15,1,5,15,39,8,24,0,clean
7,112,26,1.111111,9,10,133.807694,4,3,0.444444,14,10,1.111111,12,0,clean
3,113,11,3.333333,3,10,61.545456,27,2,9,27,10,3.333333,-16,0,clean
0,336,3,0.5,4,0,176,2,1,0.5,3,2,0,0,0,clean
0,299,6,0.214286,14,0,166.5,3,1,0.214286,6,3,0,0,0,clean
0,186,11,1.166667,6,7,151.363632,7,1,1.166667,11,7,1.166667,0,0,clean
2,110,68,13.666667,3,14,105.617645,41,1,13.666667,68,41,4.666667,0,0,clean
5,180,107,1.058824,34,33,173.925232,15,2,0.441176,32,36,0.970588,75,0,clean
0,212,30,0.521739,46,11,33.799999,13,2,0.282609,19,24,0.23913,11,0,clean
1,281,29,1.923077,13,25,155.724136,2,1,0.153846,3,25,1.923077,26,0,clean
5,188,91,0.977778,45,44,179.263733,13,1,0.288889,20,44,0.977778,71,0,buggy
3,212,89,0.412371,97,38,148.640442,8,1,0.082474,20,40,0.391753,69,1,clean
1,271,5,0.375,8,0,44,3,1,0.375,5,3,0,0,0,buggy
2,171,70,12.4,5,61,155.271423,3,2,0.6,7,62,12.2,63,0,buggy
2,181,10,5,2,10,174,0,1,0,0,10,5,10,0,buggy
0,186,0,0,2,0,0,6,1,3,6,0,0,-6,1,buggy
1,192,12,2.25,4,0,184.666672,15,1,3.75,18,9,0,-6,0,buggy
0,212,2,0.064516,31,0,178,21,1,0.677419,23,2,0,-21,0,clean
8,188,87,1.5,14,14,169.896545,40,2,2.857143,75,21,1,12,2,clean
3,111,107,2.15,40,84,156.850464,3,1,0.075,13,86,2.1,94,0,clean
0,327,3,0.090909,22,0,176,2,1,0.090909,3,2,0,0,0,clean
1,212,6,0.103448,29,2,177,2,1,0.068966,4,3,0.068966,2,0,clean
4,111,320,31.6,5,158,109.459374,8,1,1.6,10,158,31.6,310,0,clean
19,215,167,0.16726,281,37,113.065865,47,4,0.16726,120,47,0.131673,47,1,clean
